REF_DATE1,REF_DATE2,DGUID1,DGUID3,Source of funding,UOM2,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,COORDINATE3,COORDINATE4,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GEO_Alberta,GEO_British Columbia,GEO_Canada,GEO_Manitoba,GEO_New Brunswick,GEO_Newfoundland and Labrador,GEO_Northwest Territories,GEO_Nova Scotia,GEO_Nunavut,GEO_Ontario,GEO_Prince Edward Island,GEO_Quebec,GEO_Saskatchewan,GEO_Yukon,GEO_nan,DGUID2_A,DGUID2_nan,Functions of expenditures_All ownerships,Functions of expenditures_Private,Functions of expenditures_Public,Functions of expenditures_nan,UOM1_Dollars,UOM1_nan,UOM_ID_millions,UOM_ID_nan,clazz
2018,-1,2016,248,-1,81,6,-1,1145991723,10,1,19,4,0.0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145991765,10,1,19,5,0.0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145991807,10,1,3,1,2044.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145991849,10,1,3,2,122.4,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145991891,10,1,3,3,312.1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145991933,10,1,3,4,22.2,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145991975,10,1,3,5,1587.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992017,10,1,4,1,992.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992059,10,1,4,2,53.5,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992101,10,1,4,3,472.1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992143,10,1,4,4,369.3,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992185,10,1,4,5,97.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992227,10,1,5,1,5585.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992269,10,1,5,2,8.5,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992311,10,1,5,3,239.0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992353,10,1,5,4,71.0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992395,10,1,5,5,5266.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992437,10,1,7,1,431.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992479,10,1,7,2,100.7,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992521,10,1,7,3,136.6,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992563,10,1,7,4,26.1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992605,10,1,7,5,167.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992647,10,1,8,1,236.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992689,10,1,8,2,65.0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992731,10,1,8,3,65.1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992773,10,1,8,4,16.6,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992815,10,1,8,5,90.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992857,10,1,9,1,521.7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992899,10,1,9,2,280.9,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992941,10,1,9,3,29.0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145992983,10,1,9,4,10.8,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993025,10,1,9,5,200.9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993067,10,1,10,1,262.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993109,10,1,10,2,9.0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
2018,-1,2016,248,-1,81,6,-1,1145993151,10,1,10,3,6.3,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.0
