dataset,time,number-clusters,silhouette,davies-bouldin,calinski-harabasz
tab-12.csv,1.8242595195770264,2,0.6454500468156666,0.3888472093227157,167.25734832778647
tab-14.csv,1.9022009372711182,2,0.8710052112354766,0.013244253645718095,2107.995663178732
tab-15.csv,1.9903316497802734,2,0.8265223860612401,0.22937618551905303,135.44807893486123
tab-35.csv,2.0015251636505127,2,0.832488923181761,0.12870393503382455,12.057692307692307
tab-36.csv,1.8449466228485107,3,-1.0,inf,0.0
tab-37.csv,2.087874174118042,2,0.6681397021827068,0.6075186762550299,25.61298497699094
tab-38.csv,2.035754442214966,2,0.6379631447251245,0.2240864266758921,11.289056707001457
tab-42.csv,2.1704869270324707,2,0.5620007799570259,0.2896073509010752,7.5666030025793525
tab-45.csv,2.0123536586761475,2,0.5257774561958003,0.3169955645022186,6.654335347038784
tab-47.csv,1.9977383613586426,2,0.6337932498491755,0.2273300418168702,10.120867348988497
tab-94.csv,1.5965189933776855,2,0.793345233900672,0.03338472156586937,483.9439408043051
21100183.csv,2.1472606658935547,2,0.5339893297600203,0.37892279993168493,12.383458646616543
21100245.csv,1.9177331924438477,3,-1.0,inf,0.0
artpublic.csv,3.0254898071289062,2,0.29006736715177295,0.5605527651447341,2.7729290629170635
ccsf_en.csv,6.732998847961426,2,0.48870997799854443,0.3679980745626327,5.0622891967905845
dados.csv,315.9861888885498,443,1.0,0.0,9.252584630222437e+34
covid-line-list.csv,37.02647113800049,2,0.7827543238396132,0.862531858005938,96.49499525375721
estimations.csv,2.5867788791656494,2,0.7470085470085474,0.3750000265605262,48.56187290969901
liz-friedman-covid.csv,1.7521228790283203,2,0.696528255977132,0.41545081746047635,93.84656203236938
Crime1.csv,120.21556615829468,2,0.4574595404196433,0.5668786436196313,17.045457927367874
accidental_deaths.csv,7.08721399307251,2,0.5007300243238275,0.3460272004204649,4.846228435829765
children_injured.csv,6.439870595932007,2,0.5798908980312885,0.2836750909747399,6.74288932510812
children_killed.csv,7.019075870513916,2,0.412850572930197,0.42701807743929693,3.3530885812455318
knifecrime2.csv,51.21349835395813,2,0.2995355992065076,0.9096454409036442,103.4304382800311
teens_injured.csv,5.654913902282715,2,0.6124354465452241,0.2604840902086267,7.628312928177336
teens_killed.csv,6.172992467880249,2,0.5073738950944936,0.34526334189739977,4.821416407046531
39100009-000000.csv,8.372402429580688,2,0.6905565949514486,0.22317675139768195,12.318742609347154
39100009-000001.csv,6.558673858642578,2,0.6590130937241591,0.23729678714524363,9.320364063357085
39100009-000002.csv,6.133696556091309,2,0.55425281893627,0.31894040245297123,4.8770460641221165
39100009-000003.csv,6.439717531204224,2,0.5854988864905357,0.2939727367191748,5.4577981153768285
39100009-000004.csv,7.934127569198608,2,0.7698073663850696,0.16077381971645796,23.513012843343855
39100009-000005.csv,6.264632940292358,2,0.5971274594721081,0.283192310466448,5.515772747067339
39100009-000006.csv,6.270216941833496,2,0.5174420393477339,0.3519296664213358,4.471060103476008
39100009-000007.csv,3.2854397296905518,2,0.45238065672147365,0.3990953798234568,3.5577011272297185
39100011.csv,2.2277374267578125,3,1.0,0.0,1.0
39100016.csv,5.59296441078186,2,0.8841769129074633,0.14567445898066922,480.00912778904586
39100019.csv,2.2048354148864746,2,0.6785459310688119,0.31409922588483996,18.438924390773856
39100020.csv,4.313572645187378,2,0.47910966913692565,0.39571600812985114,5.867937344845878
39100021.csv,5.386986017227173,2,0.432173339272506,0.4181863828221776,3.7375490712955273
39100029.csv,1.9956884384155273,3,-1.0,inf,0.0
39100033.csv,1.9352319240570068,3,1.0,0.0,2.2716298756089874e+33
39100037.csv,32.823237895965576,2,0.7049396615190926,0.3099973536076855,415.25387244054764
39100038.csv,2.186082124710083,2,0.8852365189118289,0.14159353640259142,54.642857142857146
tag00120.csv,5.977924585342407,2,0.34367882419666146,0.49640525421545717,3.029679579816978
32100004.csv,13.45240306854248,2,0.34535090697672644,1.0769522144755608,161.80894708465414
32100009.csv,126.33607530593872,2,0.2927461340240295,1.0509711699514006,241.08504359755005
32100010.csv,96.88448095321655,2,0.6885738433475928,1.0397113355809118,996.1270893060773
32100020.csv,130.016765832901,2,0.3942504652292244,0.868329349896875,406.7793896006034
32100024.csv,15.535365581512451,2,0.4969558888309224,0.9957050251133716,317.57633257808436
32100027.csv,12.90773057937622,62,1.0,0.0,3.3041533693442133e+31
32100030.csv,14.820903062820435,2,0.3438509296952263,0.619806102726934,186.431300628734
32100084.csv,48.9098744392395,2,0.48712603480193983,1.1098127038934422,790.9999999999998
32100166.csv,43.91732621192932,2,0.7423590690634219,1.4142135623730934,671.2727272727288
32100192.csv,15.7750563621521,2,0.3700725473657892,1.7047535355044783,249.36447848792795
co2-nuts-2.csv,2.525029182434082,20,0.7401027941428171,0.32068438986489234,417.6518134794327
med_en1.csv,1.9226577281951904,3,0.75,0.0,1.0
med_en2.csv,1.9950675964355469,2,0.790573569717243,0.11794042490166223,41.20568132194178
t2020_30.csv,2.091582775115967,2,0.6476342370827743,0.2227760733123248,13.550967207542351
videos_utf8.csv,38.69511270523071,2,0.45260481045010337,0.3993341181241493,4.3352101291327525
both_sexes.csv,2.1394121646881104,2,0.7133136879353946,0.3122279892926899,43.16155654558045
divorce.csv,1.7207489013671875,2,0.8817487450602377,0.15441759135265948,160.77679734432022
men.csv,2.1443629264831543,2,0.721846359182132,0.31182856221025734,46.4375429296293
women.csv,2.21294903755188,2,0.6912357040699895,0.35552512979072604,39.29301996718663
B-9.csv,3.8719804286956787,2,0.6276117378568494,0.5214154942096928,1167.502535505367
C-6.csv,3.855398654937744,2,0.9896300796570858,0.1538364877096347,8613.358037935564
D-1.csv,3.6774959564208984,2,0.9965398953765877,0.0006389626922193889,84866.11527506523
E-7.csv,3.508775234222412,2,0.9896916843792898,0.1162145234380973,11780.721666408705
F-4.csv,3.956334114074707,2,0.9965051069056519,0.0006663177010238521,73364.60099185389
G-3.csv,3.871889114379883,2,0.9874052172153563,0.27621791163339454,3796.665923684018
H-1.csv,55.4967987537384,2,0.9009584384618031,0.5151357042159631,9207.780936951216
H-2.csv,56.89103174209595,2,0.909902651084249,0.5164723425693775,8977.078027540736
H-3.csv,54.66048836708069,2,0.8840892571027315,0.5454061404032513,8196.473158113513
H-4.csv,62.19023585319519,2,0.9147317905304073,0.4997757709275885,9595.802622777263
J-1.csv,60.24470853805542,2,0.8921356915326908,0.535913100990433,8513.155411882586
J-2.csv,59.525383710861206,2,0.9036501196311243,0.5246991614903744,8853.826029123013
J-3.csv,52.12492370605469,2,0.9115982542569833,0.5045904247670143,9432.896500294884
J-4.csv,53.71652579307556,2,0.8874330843042848,0.5465881066834142,8180.95715529149
K-6.csv,53.634965896606445,2,0.9010635606490806,0.5193595424413119,8918.233584072885
K-7.csv,56.18461894989014,3,0.9087326165504428,0.50400539529299,9543.396784638566
K-8.csv,58.17121171951294,2,0.9001751748596206,0.5171289279915761,9125.189123555518
K-9.csv,61.18269395828247,2,0.9032417720186737,0.5211796509065834,8976.511149232925
Z-1.csv,62.8589825630188,2,0.9742466035633851,1.1951286848502207,440.65928299733656
Z-2.csv,57.10414004325867,2,0.3173108659884373,1.1869938869210717,1539.4147397394365
37100078.csv,3.2004635334014893,2,0.885971312673721,0.14250107023763847,152.8231801626503
37100141.csv,3.037199020385742,2,0.5974305278054186,0.3570746296525474,88.37578646021083
CS_ANG.csv,1.9685347080230713,2,0.5195374171564472,0.8133867796733536,8.51654355596288
13100166.csv,11.924232482910156,2,0.4611297547077682,0.7439982467500744,152.8395831702915
13100169.csv,7.203005075454712,2,0.6218089939157373,0.31422755903785704,117.34298743957618
13100170.csv,32.60525631904602,44,1.0,0.0,4.629529763049316e+32
13100172.csv,6.957866907119751,2,0.6404503683213448,0.45583668439515435,683.1378818334334
13100173.csv,7.830925226211548,2,0.6050189867127207,0.5068689916991624,617.7138072325068
34100282.csv,118.15745377540588,2,0.31694424624925555,0.650160986765976,552.8616071428593
37100004.csv,80.60444641113281,2,0.5493559218573998,1.3153583779712916,301.1292452577445
37100005.csv,72.63021731376648,2,0.5624648010210608,0.46087794689052963,228.66923676781494
37100006.csv,85.24399042129517,2,0.45645843905275946,1.5465700436788465,243.85147949423964
jan-feb-foils.csv,3.557896137237549,2,0.26601898707234034,0.5902002781462519,2.6328367270480264
DailyUsage.csv,1.631547212600708,2,-1.0,inf,0.0
csv-4.csv,1.441298484802246,3,0.8258443152201381,0.07805932926877159,50.056435458261745
eduroam.csv,1.9828763008117676,3,0.9411764705882353,0.0,1.0
geojson-2.csv,1.9575879573822021,2,0.9033176149576231,0.07128171653754718,26.07142857142857
json-5.csv,2.0492055416107178,2,0.6705436258651564,0.20968798845878076,9.228108200941183
