dataset,time,number-clusters,calinski-harabasz
tab-12.csv,1.683568000793457,3,167.25734832778647
tab-14.csv,1.890693187713623,2,2181.065739422753
tab-15.csv,1.8551220893859863,2,103.31807133587408
tab-35.csv,1.8232498168945312,2,5.845968406826157
tab-36.csv,1.8737082481384277,2,151.54219600497112
tab-37.csv,2.116508960723877,2,8.858522501254956
tab-38.csv,1.8936681747436523,2,12.472195573698052
tab-42.csv,1.9921090602874756,2,11.358591945256936
tab-45.csv,2.0166940689086914,2,7.6519392562386805
tab-47.csv,1.8459219932556152,2,17.093608687267306
tab-94.csv,1.2373778820037842,3,1274.441328830253
21100183.csv,2.134176254272461,2,10.737955712604245
21100245.csv,1.5711393356323242,3,0.0
artpublic.csv,2.766190767288208,2,4.139235789580454
ccsf_en.csv,6.000985860824585,2,7.641427845987318
dados.csv,246.37475180625916,243,9.252584630222437e+34
covid-line-list.csv,25.163604259490967,2,79.96568996327436
estimations.csv,2.5613722801208496,2,48.50403014446279
liz-friedman-covid.csv,1.8167099952697754,2,98.73822852070529
Crime1.csv,98.26720452308655,2,27.555203420958776
accidental_deaths.csv,6.556746482849121,2,4.2070749935067155
children_injured.csv,5.472729682922363,2,6.930172390849403
children_killed.csv,5.854547500610352,2,5.399199814766565
knifecrime2.csv,42.3130886554718,2,295.317805025
teens_injured.csv,6.711421012878418,2,9.712754830424414
teens_killed.csv,5.734774589538574,2,6.729193454575054
39100009-000000.csv,8.059566974639893,2,49.18680408950536
39100009-000001.csv,5.702083587646484,2,21.597559446924297
39100009-000002.csv,5.639603137969971,2,21.02411386876698
39100009-000003.csv,5.871944427490234,2,17.487258906919028
39100009-000004.csv,7.861316919326782,2,74.3785643961218
39100009-000005.csv,5.827467203140259,2,19.22034417414394
39100009-000006.csv,5.879025936126709,2,15.348056540059227
39100009-000007.csv,3.046443223953247,2,8.333789032048813
39100011.csv,2.0139060020446777,2,68.80952380952385
39100016.csv,5.0282018184661865,2,121.92433292230594
39100019.csv,1.9722967147827148,2,108.95640445025158
39100020.csv,2.927957057952881,2,9.444599741894923
39100021.csv,4.768060207366943,2,16.83719827418561
39100029.csv,1.891303539276123,3,1.9471113219505604e+33
39100033.csv,1.8275749683380127,2,52.460491031602636
39100037.csv,22.76801085472107,2,336.11730225075195
39100038.csv,2.02880597114563,2,27.0
tag00120.csv,5.386598825454712,2,3.3340499980307525
32100004.csv,9.708388328552246,2,250.12602226904696
32100009.csv,92.9993200302124,2,297.19226118500814
32100010.csv,71.72034692764282,2,821.6387792194755
32100020.csv,95.07613039016724,2,414.86850982870806
32100024.csv,10.552846670150757,2,589.4754098360661
32100027.csv,9.841832637786865,2,248.81210938922484
32100030.csv,10.149203300476074,2,972.200992739594
32100084.csv,34.62293076515198,2,495.2611135917542
32100166.csv,37.120023250579834,2,636.0046558891426
32100192.csv,12.513994693756104,2,517.8179705016566
co2-nuts-2.csv,2.3317220211029053,26,9185.924473464744
med_en1.csv,1.8428614139556885,2,833.2464284053743
med_en2.csv,1.8499486446380615,2,32.02684340824034
t2020_30.csv,2.0392775535583496,2,14.879243617515636
videos_utf8.csv,37.31468319892883,2,6.685593238175415
both_sexes.csv,2.0367674827575684,2,50.71348337329868
divorce.csv,1.8342554569244385,2,454.09505063209014
men.csv,1.9863710403442383,2,57.65460559325262
women.csv,2.1272265911102295,2,44.07692655088335
B-9.csv,3.207519292831421,2,1134.9272049182543
C-6.csv,3.709066390991211,2,1089.2270300267294
D-1.csv,3.6594908237457275,2,83176.42460982432
E-7.csv,4.058130741119385,2,2029.7571451354684
F-4.csv,3.467958927154541,2,73085.48033936233
G-3.csv,4.251419544219971,2,1278.8438281765175
H-1.csv,53.037368059158325,2,8406.379321666536
H-2.csv,53.253005266189575,2,8775.22195723745
H-3.csv,52.20246338844299,3,4587.871552171952
H-4.csv,55.72432589530945,2,8626.00976634976
J-1.csv,55.88168478012085,2,8865.581647954568
J-2.csv,60.12659788131714,2,8994.737046663367
J-3.csv,49.07347393035889,2,8443.921757027094
J-4.csv,56.332279682159424,2,8609.162224393418
K-6.csv,52.25216245651245,2,8771.674309701004
K-7.csv,57.861417293548584,2,8578.433516281844
K-8.csv,53.5255389213562,2,8420.598422314117
K-9.csv,57.993515491485596,2,7304.124557945928
Z-1.csv,62.51624584197998,2,150.33776946323482
Z-2.csv,51.634850025177,2,1594.789945398546
37100078.csv,2.4992356300354004,12,1.0649647933481013e+34
37100141.csv,2.4833054542541504,11,6.411039299144908e+32
CS_ANG.csv,1.8597090244293213,2,14.333333333333334
13100166.csv,8.824976205825806,2,430.80000000000405
13100169.csv,6.2915544509887695,2,258.2104644488683
13100170.csv,28.545059204101562,2,736.2981112775312
13100172.csv,6.576195001602173,2,510.16253593820534
13100173.csv,7.7525951862335205,46,4.79265826930731e+32
34100282.csv,124.78575491905212,2,1175.4399999999628
37100004.csv,73.0718002319336,2,408.83136155810337
37100005.csv,53.20024251937866,2,289.2456360097062
37100006.csv,69.81101083755493,2,417.04379029360246
jan-feb-foils.csv,2.905259132385254,2,2.4050794955999066
DailyUsage.csv,1.4552977085113525,2,0.0
csv-4.csv,1.158555507659912,2,1237.5299191979132
eduroam.csv,1.8480193614959717,2,32.3738016128281
geojson-2.csv,1.9840843677520752,2,11.101935418058554
json-5.csv,1.871293067932129,2,13.927111715330001
