dataset,time,number-clusters,silhouette
tab-12.csv,0.0104677,6,0.5003036481456065
tab-14.csv,0.0062864,2,0.6710273199531565
tab-15.csv,0.0089348,3,0.787078744072981
tab-35.csv,0.009398,2,0.832488923181761
tab-36.csv,0.0092773,10,0.47865685904900923
tab-37.csv,0.0227535,2,0.9172361531192545
tab-38.csv,0.034631,2,0.9403131808578409
tab-42.csv,0.0193386,2,0.9140127046843105
tab-45.csv,0.0224971,3,0.8369589627398408
tab-47.csv,0.0157515,2,0.7736528370942284
tab-94.csv,0.0068386,3,0.576944572694731
21100183.csv,0.0310848,3,0.739410015455373
21100245.csv,0.0129045,2,0.5823298124695769
artpublic.csv,0.263133,2,0.41389781946967225
ccsf_en.csv,18.4188,2,0.9729862106419495
dados.csv,35.6134,3,0.8378137520791525
covid-line-list.csv,4.39069,2,0.9662718854179166
estimations.csv,0.0380408,4,0.9178028780148052
liz-friedman-covid.csv,0.0091554,6,0.7167724831407276
accidental_deaths.csv,6.54255,2,0.9752448648889936
children_injured.csv,7.31316,2,0.9739472538065608
children_killed.csv,9.79249,2,0.9797360478864057
Crime1.csv,114.559,2,0.9881943831296428
knifecrime2.csv,40.9941,42,0.8629518243283357
teens_injured.csv,2.04573,2,0.9802915436224681
teens_killed.csv,5.64093,2,0.981122296770977
39100009-000000.csv,96.4856,3,0.9979926012129867
39100009-000001.csv,32.1118,3,0.8251630875013012
39100009-000002.csv,52.2063,3,0.4900103297213217
39100009-000003.csv,20.5363,3,0.8182577405690477
39100009-000004.csv,9.9203,3,0.7230832815338489
39100009-000005.csv,47.3128,5,0.9249507645020568
39100009-000006.csv,12.6791,2,0.9644976364195811
39100009-000007.csv,0.057171,2,0.9999956480086093
39100011.csv,0.0156212,3,0.774818023305728
39100016.csv,0.565795,3,0.8042961357723473
39100019.csv,0.0282386,3,0.7731538585967704
39100020.csv,1.31855,2,0.9521896300425031
39100021.csv,5.11145,3,0.9955141757790187
39100029.csv,0.0171205,3,0.7708519731764755
39100033.csv,0.0052773,3,0.7644273942195955
39100037.csv,5.12066,3,0.7808550275742532
39100038.csv,0.0201843,3,0.7731538585967704
tag00120.csv,2.62328,2,0.9398683862742858
32100004.csv,9.92766,2,0.9988358300212873
32100009.csv,31.1414,2,0.9983552844051644
32100010.csv,90.652,2,0.9959824511216537
32100020.csv,27.3587,3,0.9954894417010131
32100024.csv,8.86894,4,0.8153981840780402
32100027.csv,3.73144,2,0.99844552982489
32100030.csv,4.60701,7,0.7696429537494445
32100084.csv,4.95322,2,0.9984463880409817
32100166.csv,4.33708,3,0.8041297067381539
32100192.csv,12.8202,2,0.39317757156253513
co2-nuts-2.csv,0.0739683,2,0.7381137559481061
med_en1.csv,0.0081771,2,0.421120741323449
med_en2.csv,0.0049004,4,0.713233776907965
t2020_30.csv,0.0173889,2,0.8792028961354301
videos_utf8.csv,87.5289,2,0.9768730137964169
both_sexes.csv,0.013977,2,0.9999910259911483
divorce.csv,0.0108482,3,0.6537704652176145
men.csv,0.0173897,3,0.7189315920042573
women.csv,0.0183114,5,0.5749183030104824
B-9.csv,0.375825,3,0.5766224604108475
C-6.csv,0.239085,3,0.9897792215873177
D-1.csv,0.854132,2,0.996578375605556
E-7.csv,0.539017,3,0.9898215447265626
F-4.csv,1.04202,3,0.9842681320872917
G-3.csv,0.45458,3,0.9873597598900135
H-1.csv,30.1573,3,0.9128747183014314
H-2.csv,15.0607,4,0.925130013794454
H-3.csv,10.8763,4,0.8487373840931736
H-4.csv,10.7145,4,0.9267943905631332
J-1.csv,21.0136,4,0.9302633725413219
J-2.csv,10.1017,4,0.9223505899001296
J-3.csv,36.0599,3,0.9121446703738572
J-4.csv,14.062,8,0.714256511483172
K-6.csv,11.6283,8,0.6996795526851212
K-7.csv,18.0457,3,0.9255193428531959
K-8.csv,16.7345,8,0.9318305802897513
K-9.csv,25.237,2,0.9352229631546376
Z-1.csv,13.3282,4,0.9829559292458554
Z-2.csv,13.8607,1264,0.34516535098760653
37100078.csv,0.089696,2,0.9986435408676924
37100141.csv,0.0581697,2,0.9999998864794765
CS_ANG.csv,0.0045158,3,0.7193840344686846
13100166.csv,2.94527,3,0.6431410968463208
13100169.csv,0.889158,2,0.9920801474682153
13100170.csv,7.29896,2,0.9671672762904194
13100172.csv,0.723545,2,0.9915513916441981
13100173.csv,0.971044,2,0.9915524604118586
34100282.csv,25.7,2,0.9986407456114479
37100004.csv,10.3668,2,0.9712813679481249
37100005.csv,13.6886,2,0.9983751948858888
37100006.csv,17.8407,2,0.9983780923773087
jan-feb-foils.csv,0.120501,2,0.9397882299125819
csv-4.csv,0.0123324,3,0.8739639672262323
DailyUsage.csv,0.0072087,3,0.7073780657927906
eduroam.csv,0.0039857,2,0.7458863142226536
geojson-2.csv,0.0199728,6,0.6090226129976744
json-5.csv,0.0052832,7,0.5506539216714498
