dataset,time,number-clusters,silhouette
tab-12.csv,0.0103471,6,0.5003036481456065
tab-14.csv,0.0064716,2,0.6710273199531565
tab-15.csv,0.007897,2,0.8958823575445005
tab-35.csv,0.0081787,2,0.8324889231817608
tab-36.csv,0.009416,10,0.47865685904900923
tab-37.csv,0.0305886,2,0.9172361531192545
tab-38.csv,0.0684626,3,0.9034075170446223
tab-42.csv,0.0223792,2,0.9140127046843105
tab-45.csv,0.0187808,4,0.6651713032462971
tab-47.csv,0.0070759,5,0.3586568096181126
tab-94.csv,0.0072328,3,0.576944572694731
21100183.csv,0.0307258,3,0.739410015455373
21100245.csv,0.0095103,2,0.5823298124695769
artpublic.csv,0.177749,6,0.7368132377784512
ccsf_en.csv,18.3046,3,0.775495644414096
dados.csv,57.4471,48,0.9361971547073863
covid-line-list.csv,3.40997,2,0.9662540400532613
estimations.csv,0.0446431,4,0.9175420286224181
liz-friedman-covid.csv,0.0099993,2,0.8057652672696405
accidental_deaths.csv,7.61219,2,0.9764638561582454
children_injured.csv,8.23543,2,0.9767826365469436
children_killed.csv,7.36712,2,0.9764218175045952
Crime1.csv,127.453,2,0.989255419826776
knifecrime2.csv,18.8048,6,0.9879371431117174
teens_injured.csv,4.39594,2,0.9725023562930076
teens_killed.csv,7.04921,2,0.9726628884532441
39100009-000000.csv,100.013,3,0.9979894911247251
39100009-000001.csv,40.9437,3,0.9535867024767306
39100009-000002.csv,57.3633,3,0.8845641111265691
39100009-000003.csv,44.6431,3,0.8182577405690477
39100009-000004.csv,11.9544,3,0.7230832815338489
39100009-000005.csv,27.942,5,0.7417672466724884
39100009-000006.csv,53.4262,2,0.9702985350538877
39100009-000007.csv,0.0807779,2,0.9999956480086093
39100011.csv,0.0146908,3,0.774818023305728
39100016.csv,0.608672,3,0.8042961357723473
39100019.csv,0.022373,2,0.9986144489479563
39100020.csv,1.41456,3,0.9986461894928066
39100021.csv,5.16476,2,0.9656815391118357
39100029.csv,0.0096581,3,0.7708519731764755
39100033.csv,0.0052869,3,0.7644273942195955
39100037.csv,5.15695,3,0.7808550275742532
39100038.csv,0.0273554,2,0.9986144489479563
tag00120.csv,3.77725,2,0.974139477020626
32100004.csv,4.1798,4,0.7936933487222662
32100009.csv,38.3369,3,0.8042420474158651
32100010.csv,69.6736,2,0.9928552153978364
32100020.csv,32.9905,2,0.998447034330868
32100024.csv,5.23604,2,0.99844552982489
32100027.csv,4.01413,6,0.8049747863290051
32100030.csv,6.48395,8,0.7463100795177607
32100084.csv,4.89827,2,0.9984463880409817
32100166.csv,5.06965,2,0.9988367545160095
32100192.csv,14.6512,2,0.7218567861985675
co2-nuts-2.csv,0.0718211,2,0.7381137559481061
med_en1.csv,0.0072505,2,0.421120741323449
med_en2.csv,0.0056371,5,0.851016616716961
t2020_30.csv,0.0154499,2,0.8792028961354301
videos_utf8.csv,122.737,2,0.9644708154508297
both_sexes.csv,0.0138695,5,0.7413386934770638
divorce.csv,0.0089198,3,0.7048570135098423
men.csv,0.0183783,3,0.7189315920042573
women.csv,0.0173652,5,0.7329444262183726
B-9.csv,0.382396,3,0.5766224604108475
C-6.csv,0.229462,3,0.9897792215873177
D-1.csv,0.830706,2,0.996578375605556
E-7.csv,0.520988,3,0.9903373642706041
F-4.csv,0.619342,3,0.9843225071394353
G-3.csv,0.467664,3,0.9880619831352263
H-1.csv,14.5526,4,0.9251643227286223
H-2.csv,34.221,3,0.9135280646336941
H-3.csv,23.5625,2,0.9344954951961333
H-4.csv,42.1706,3,0.9242448347941608
J-1.csv,23.5554,3,0.9266812324585914
J-2.csv,14.7879,4,0.9282623850526021
J-3.csv,40.2279,3,0.9233005609136501
J-4.csv,34.0329,3,0.9261765762033379
K-6.csv,9.88756,4,0.9267187575741569
K-7.csv,12.3814,4,0.9301282115622677
K-8.csv,16.1742,8,0.9293279650217847
K-9.csv,24.1713,2,0.9373554123200908
Z-1.csv,10.0419,8,0.9561939328521549
Z-2.csv,15.5144,1252,0.3638144364980723
37100078.csv,0.102351,3,0.7795932118206919
37100141.csv,0.0516224,2,0.9999999196910886
CS_ANG.csv,0.0045858,3,0.7193840344686846
13100166.csv,1.96487,3,0.6431410968463208
13100169.csv,0.781051,2,0.9920801474682153
13100170.csv,4.34621,2,0.9671672762904194
13100172.csv,0.687231,2,0.9915513916441981
13100173.csv,0.848155,2,0.9915524604118586
34100282.csv,18.1859,2,0.9986407456114479
37100004.csv,11.0272,2,0.9712813679481249
37100005.csv,22.4763,2,0.9988511393063966
37100006.csv,9.37641,2,0.9855850813682873
jan-feb-foils.csv,0.106995,2,0.9467506857830473
csv-4.csv,0.0126436,3,0.8739639672262323
DailyUsage.csv,0.0074661,3,0.7073780657927906
eduroam.csv,0.0037136,2,0.7458863142226536
geojson-2.csv,0.0239034,6,0.7935179179022349
json-5.csv,0.0122036,6,0.49395205051696905
