dataset,time,number-clusters,silhouette
tab-12.csv,0.0134859,6,0.5003036481456065
tab-14.csv,0.0079366,2,0.6710273199531565
tab-15.csv,0.0082753,2,0.8958823575445005
tab-35.csv,0.0112392,2,0.832488923181761
tab-36.csv,0.0097646,10,0.47865685904900923
tab-37.csv,0.02917,2,0.9172361531192545
tab-38.csv,0.0468787,2,0.9403131808578409
tab-42.csv,0.0202788,2,0.9140127046843105
tab-45.csv,0.0263135,2,0.8805134815666232
tab-47.csv,0.0145269,4,0.756752640236671
tab-94.csv,0.0071679,3,0.576944572694731
21100183.csv,0.0311794,3,0.739410015455373
21100245.csv,0.0056906,2,0.5823298124695769
artpublic.csv,0.0895021,3,0.6089633868633416
ccsf_en.csv,31.4517,2,0.9492528348868655
dados.csv,44.2484,42,0.7802820527974705
covid-line-list.csv,3.24743,2,0.9662362664247665
estimations.csv,0.0513943,4,0.9077678043831269
liz-friedman-covid.csv,0.0159811,3,0.7605620396483034
accidental_deaths.csv,6.72153,2,0.9885283107350815
children_injured.csv,5.86568,2,0.9848023303523855
children_killed.csv,8.96698,2,0.9830890107411739
Crime1.csv,123.179,2,0.9911703716329988
knifecrime2.csv,30.2457,6,0.9879371431117177
teens_injured.csv,1.7519,2,0.983083961688481
teens_killed.csv,3.77913,2,0.9815473664039734
39100009-000000.csv,71.0824,3,0.8351165867759696
39100009-000001.csv,43.9514,3,0.9736131865942621
39100009-000002.csv,13.1254,3,0.8624831485497718
39100009-000003.csv,125.365,3,0.9624915053217656
39100009-000004.csv,16.0022,3,0.7230832815338489
39100009-000005.csv,34.8469,5,0.9218205859796812
39100009-000006.csv,41.6583,5,0.9959805162197792
39100009-000007.csv,0.0431342,2,0.9999956480086093
39100011.csv,0.0148646,3,0.774818023305728
39100016.csv,0.558806,3,0.8042961579366741
39100019.csv,0.0184226,2,0.9986144489479563
39100020.csv,1.61634,2,0.9986345283015068
39100021.csv,4.49687,2,0.9590793015508665
39100029.csv,0.0118957,3,0.7708519731764755
39100033.csv,0.0105352,3,0.7644273942192709
39100037.csv,6.27901,2,0.9980765563680363
39100038.csv,0.024152,3,0.7731538585967704
tag00120.csv,3.16347,2,0.974139477020626
32100004.csv,3.56552,3,0.9688314935790805
32100009.csv,25.1957,3,0.8042420474158651
32100010.csv,260.489,2,0.9984355865886586
32100020.csv,25.4409,3,0.8042373968098379
32100024.csv,5.29902,2,0.99844552982489
32100027.csv,4.28634,6,0.757953027147189
32100030.csv,7.46145,7,0.7696429537494444
32100084.csv,5.42725,2,0.9984463880409817
32100166.csv,4.40958,2,0.9988367545160095
32100192.csv,24.3152,2,0.9988360596977273
co2-nuts-2.csv,0.073598,2,0.7381137559481061
med_en1.csv,0.0091556,2,0.421120741323449
med_en2.csv,0.011594,5,0.8026216457735451
t2020_30.csv,0.0157145,2,0.8792028961354301
videos_utf8.csv,57.9847,2,0.9758392432319853
both_sexes.csv,0.0173327,2,0.9999940064470527
divorce.csv,0.007423,3,0.7048570135098423
men.csv,0.018209,3,0.7189315920042573
women.csv,0.0175915,5,0.5196128992375093
B-9.csv,0.347879,3,0.5706672216626875
C-6.csv,0.235547,3,0.9897792215873177
D-1.csv,0.826576,2,0.996578375605556
E-7.csv,0.459333,3,0.9892753916623023
F-4.csv,0.588202,3,0.9843172996463003
G-3.csv,0.402189,3,0.9873597598900135
H-1.csv,17.3982,4,0.928000139008313
H-2.csv,41.8881,3,0.921490803283556
H-3.csv,14.1325,5,0.9083005013538663
H-4.csv,17.1772,4,0.927272406855097
J-1.csv,19.9485,3,0.9240970583897872
J-2.csv,14.8339,4,0.9265586390103077
J-3.csv,34.2591,3,0.9131027971832274
J-4.csv,11.3817,4,0.9279321328652774
K-6.csv,9.83935,8,0.7095938013586458
K-7.csv,30.8825,3,0.9140470053990872
K-8.csv,22.1558,2,0.9381582644451004
K-9.csv,17.1719,4,0.9330829419739765
Z-1.csv,22.746,4,0.9835097122188186
Z-2.csv,25.3547,1252,0.3642541243656365
37100078.csv,0.0917152,2,0.998081764017708
37100141.csv,0.0535596,2,0.9999998864794765
CS_ANG.csv,0.0044848,3,0.7193840344686846
13100166.csv,2.70046,3,0.6431410968463208
13100169.csv,0.639409,2,0.9887996033569694
13100170.csv,3.55404,2,0.9676525365430125
13100172.csv,0.707337,2,0.9915513916441981
13100173.csv,1.14402,2,0.9915524604118586
34100282.csv,37.9275,2,0.9986407456114479
37100004.csv,13.0909,2,0.9983731599917438
37100005.csv,21.2937,2,0.9988511393063966
37100006.csv,11.8313,3,0.780186674612558
jan-feb-foils.csv,0.0981319,2,0.9397882299125819
csv-4.csv,0.0122341,3,0.8739639672262323
DailyUsage.csv,0.007963,3,0.7073780657927906
eduroam.csv,0.0038618,2,0.7458863142226536
geojson-2.csv,0.0148439,5,0.6754283242299899
json-5.csv,0.014282,7,0.660849894307845
