dataset,time,number-clusters,calinski-harabasz
tab-12.csv,0.0182882,10,65.06889563658999
tab-14.csv,0.0082059,4,70.54972514997823
tab-15.csv,0.013202,6,358.2817884889806
tab-35.csv,0.0181072,12,2022.8618743099028
tab-36.csv,0.0169554,10,1915.070243527392
tab-37.csv,0.0799721,21,190884.18218489512
tab-38.csv,0.0226082,2,39.1614215651075
tab-42.csv,0.0743195,13,387238.8742924332
tab-45.csv,0.0262045,14,1781410.5427422975
tab-47.csv,0.0155944,10,111493.29509047503
tab-94.csv,0.0049036,3,1215.78701921933
21100183.csv,0.0216908,19,479198.1264475741
21100245.csv,0.0075406,5,235.47677514792915
artpublic.csv,0.177942,8,18.584293837049636
ccsf_en.csv,13.1944,2,459.3310307798768
dados.csv,3.98803,47,302267.8306655411
covid-line-list.csv,3.4141,2,502.5321065373213
estimations.csv,0.0327151,4,1320.1639871049263
liz-friedman-covid.csv,0.0395847,13,365.5510634559138
accidental_deaths.csv,5.77312,28,15030.009149599022
children_injured.csv,8.72518,14,4699.9544542859285
children_killed.csv,10.8552,31,67.15979147300492
Crime1.csv,128.431,2,1501.0988828828674
knifecrime2.csv,15.8873,261,12302.233310701966
teens_injured.csv,2.7603,32,9847.503804246058
teens_killed.csv,5.65801,30,26966.92854379415
39100009-000000.csv,56.1348,189,533788373736837.5
39100009-000001.csv,32.9,243,2130397582601836.5
39100009-000002.csv,22.99,52,5.646667666556247
39100009-000003.csv,16.4425,37,6.983225893573651
39100009-000004.csv,27.0811,186,8656.492175668085
39100009-000005.csv,21.6947,22,29757124757485.42
39100009-000006.csv,17.6919,106,17.986010539360606
39100009-000007.csv,0.0758314,4,212743448569099.4
39100011.csv,0.0190473,27,2563.5616081555304
39100016.csv,0.472997,6,860134108.637241
39100019.csv,0.0202488,7,224695567.25000507
39100020.csv,0.727856,10,79043471.19632407
39100021.csv,3.70593,12,8.87190798857021
39100029.csv,0.010846,6,104380502.8800002
39100033.csv,0.0283333,14,51.1684224706992
39100037.csv,8.51685,585,2130120.509764249
39100038.csv,0.0538026,7,224695567.2500051
tag00120.csv,8.21933,5,2.7920942306241927
32100004.csv,6.74109,52,7212.178649237486
32100009.csv,16.8569,3,93873.87381962687
32100010.csv,25.6193,2,1033237044551226.8
32100020.csv,19.1811,3,347.4821826280581
32100024.csv,4.24104,18,100384546981.49167
32100027.csv,4.20963,7,65984.77227541199
32100030.csv,4.02228,8,81979.39770410646
32100084.csv,11.3851,143,3097.43137113289
32100166.csv,6.3827,42,26446592829.388077
32100192.csv,15.7395,14,67187134.22193456
co2-nuts-2.csv,0.0845816,22,1927.503831259781
med_en1.csv,0.0054971,2,2.5656323158353422
med_en2.csv,0.010157,6,117785.02710692535
t2020_30.csv,0.0167507,2,33.43333333333332
videos_utf8.csv,59.7935,9,3.582715355706158
both_sexes.csv,0.0131052,7,136449549097.87038
divorce.csv,0.0113632,6,2955513462500.0938
men.csv,0.0156499,7,543.4501031158528
women.csv,0.0199045,7,217.0736255500824
B-9.csv,0.187531,6,2440.291225314847
C-6.csv,0.158946,78,1522413676.1595566
D-1.csv,0.512782,8,11254785.181255098
E-7.csv,0.348643,84,1506590176.270038
F-4.csv,0.687368,5,2353641.880767477
G-3.csv,0.433081,114,2332103025.618713
H-1.csv,5.2375,4,11336.295780767177
H-2.csv,6.33837,4,12454.401091765834
H-3.csv,4.29977,3,11916.588672457498
H-4.csv,9.96784,3,10455.777316832877
J-1.csv,4.46343,22,14750.632534228003
J-2.csv,6.56036,4,10822.31330204403
J-3.csv,6.04776,4,12044.549757100574
J-4.csv,4.85275,4,11365.10390767569
K-6.csv,4.34197,4,12273.719323865316
K-7.csv,5.14831,4,10917.814051303276
K-8.csv,18.7571,771,1995935179.0946438
K-9.csv,4.32551,3,11459.445776373477
Z-1.csv,7.41602,16,46162.4912113318
Z-2.csv,9.74357,1052,16037.573756617301
37100078.csv,0.113142,37,6508717536326326.0
37100141.csv,0.0491409,5,3811838899616063.5
CS_ANG.csv,0.0156814,4,1887.2852970738727
13100166.csv,1.48569,27,25675006711725.977
13100169.csv,0.490965,14,771676.8674239533
13100170.csv,3.37754,26,113793.63903206211
13100172.csv,0.779771,10,3800271.3220815663
13100173.csv,1.39472,14,3246.9616330136837
34100282.csv,13.8586,8,49823127.37058391
37100004.csv,9.81626,8,9708.04741808527
37100005.csv,8.06952,8,9045.08538728934
37100006.csv,8.20921,7,2548.1267185999136
jan-feb-foils.csv,0.100632,2,85.54237288135602
csv-4.csv,0.0137985,3,295.5233449550745
DailyUsage.csv,0.0060295,9,526.9242167747655
eduroam.csv,0.007945,8,627.1132448886015
geojson-2.csv,0.0312995,14,325583.06300609565
json-5.csv,0.0243025,13,605314.8292036222
