dataset,time,number-clusters,calinski-harabasz
tab-12.csv,0.0189139,9,68.32724763698079
tab-14.csv,0.0092713,4,70.54972514997823
tab-15.csv,0.0129643,8,1111.7445088335166
tab-35.csv,0.0248376,12,2022.8618743099028
tab-36.csv,0.0128256,7,293.7037859210367
tab-37.csv,0.0755236,21,313323.45917258895
tab-38.csv,0.0383775,2,88.87724075044251
tab-42.csv,0.0941661,13,277166.9616688067
tab-45.csv,0.0166081,16,10531.61168975948
tab-47.csv,0.0151581,6,9.201744993993671
tab-94.csv,0.0053842,3,1215.78701921933
21100183.csv,0.0178888,22,539058.6908691534
21100245.csv,0.0115163,5,235.47677514792915
artpublic.csv,0.187648,17,4.030304753792869
ccsf_en.csv,12.4462,2,230.24827308490688
dados.csv,5.39067,47,302267.8306655411
covid-line-list.csv,3.38727,2,502.5321065373213
estimations.csv,0.0220447,4,1312.0735529671636
liz-friedman-covid.csv,0.0470949,13,375.014867007936
accidental_deaths.csv,9.35576,32,3716.976723929641
children_injured.csv,5.85136,40,167.73155927518133
children_killed.csv,5.75916,22,8.241258136619996
Crime1.csv,117.962,214,1586601.3699704444
knifecrime2.csv,14.4708,266,58047.50909852673
teens_injured.csv,3.33857,3,465.4712168820195
teens_killed.csv,4.45508,34,28175.416852715134
39100009-000000.csv,34.9641,135,526187359497203.2
39100009-000001.csv,45.7729,245,2642408199697894.5
39100009-000002.csv,10.2586,55,18.020658320134217
39100009-000003.csv,15.5938,50,18.026671715849478
39100009-000004.csv,18.2264,226,3457.333505944314
39100009-000005.csv,13.8159,145,711.4031758468102
39100009-000006.csv,8.35044,101,13.977527641302672
39100009-000007.csv,0.0816766,4,243135369793257.84
39100011.csv,0.0336756,28,3109.992487973042
39100016.csv,0.491981,7,3218640408.829623
39100019.csv,0.032171,7,449391142.66667676
39100020.csv,0.765421,11,29107969.959604643
39100021.csv,4.69112,20,13.736732985115111
39100029.csv,0.0130924,6,52190249.64000009
39100033.csv,0.0222415,14,51.168422470699205
39100037.csv,11.8343,585,3659761.4242628845
39100038.csv,0.0374996,7,449391142.66667676
tag00120.csv,19.3747,7,26.35073565697983
32100004.csv,3.95106,11,1815124806.42263
32100009.csv,12.8125,3,93873.87381962687
32100010.csv,17.7042,2,2066474089105882.2
32100020.csv,11.2678,3,94776510512.23347
32100024.csv,9.07299,12,292753664142.8258
32100027.csv,9.61916,7,65984.772275412
32100030.csv,6.07885,7,65984.772275412
32100084.csv,9.2304,143,79604544064.72192
32100166.csv,7.60838,50,14476948862.152548
32100192.csv,36.15,10,344548408.1579534
co2-nuts-2.csv,0.0799522,22,1927.503831259781
med_en1.csv,0.0065754,2,2.5656323158353422
med_en2.csv,0.0118754,7,43.142538588934954
t2020_30.csv,0.0149843,2,33.43333333333333
videos_utf8.csv,56.7195,8,5.701878820677212
both_sexes.csv,0.0212404,6,312881307040.9705
divorce.csv,0.013478,6,2955513462500.0938
men.csv,0.0190536,7,280.80673079976765
women.csv,0.0176378,8,538.3351197272609
B-9.csv,0.189326,6,2440.291225314847
C-6.csv,0.196684,122,4575432219.600726
D-1.csv,0.527127,8,10907028.02146126
E-7.csv,0.347724,6,270568743.91842306
F-4.csv,0.685386,5,2353641.880767477
G-3.csv,0.30456,6,255079523.53479865
H-1.csv,5.82949,4,12380.123693004734
H-2.csv,9.33423,4,12729.896446551757
H-3.csv,4.90762,3,10831.295675732745
H-4.csv,9.40178,4,11832.755362091186
J-1.csv,3.86955,4,11276.531219197628
J-2.csv,8.78778,4,11059.829585862955
J-3.csv,5.76049,4,12369.147186289643
J-4.csv,6.05295,4,11993.78625838452
K-6.csv,8.02946,4,12273.719323865316
K-7.csv,3.24666,4,11987.688554686509
K-8.csv,23.2468,830,3721191545.2501106
K-9.csv,7.6681,2,13234.693451565048
Z-1.csv,6.19896,1122,64798693.91603081
Z-2.csv,8.30892,1301,22228.458146332516
37100078.csv,0.121603,34,4712220466088613.0
37100141.csv,0.0479289,4,2047820021878906.0
CS_ANG.csv,0.0091857,4,942.8093152036031
13100166.csv,1.9069,24,22769745072667.613
13100169.csv,0.876943,10,1702897.953637088
13100170.csv,2.06946,2,1176.7884025183107
13100172.csv,1.3346,8,4583514.711749784
13100173.csv,1.55838,8,4893211.651732881
34100282.csv,9.19597,6,2546595399.245338
37100004.csv,9.77054,7,262061444.51475745
37100005.csv,4.96794,8,7164.294221232606
37100006.csv,12.2282,5,1114012452.5330353
jan-feb-foils.csv,0.0914371,2,85.54237288135602
csv-4.csv,0.0130816,3,295.5233449550745
DailyUsage.csv,0.0060662,9,526.9242167747655
eduroam.csv,0.0090112,8,611.9745640191559
geojson-2.csv,0.0147508,13,382188.11554588785
json-5.csv,0.0171913,13,434892.0080229098
