dataset,time,number-clusters,calinski-harabasz
tab-12.csv,0.0188826,9,68.32724763698079
tab-14.csv,0.0082039,4,70.54972514997823
tab-15.csv,0.0117548,7,737.9487757541217
tab-35.csv,0.0173406,12,2022.8618743099028
tab-36.csv,0.0106505,7,293.7037859210367
tab-37.csv,0.0939489,21,373443.85052434297
tab-38.csv,0.0234244,8,11.054231879631667
tab-42.csv,0.0708047,13,288739.8342094251
tab-45.csv,0.019935,12,13.994100400939777
tab-47.csv,0.0114631,8,7276.132239673913
tab-94.csv,0.0051532,3,1215.78701921933
21100183.csv,0.0242461,23,249488.49335791648
21100245.csv,0.0077944,5,235.47677514792915
artpublic.csv,0.0837004,15,10.482753458975136
ccsf_en.csv,19.5691,2,185.901917825033
dados.csv,7.80898,49,339344.28071658156
covid-line-list.csv,2.23545,2,502.5321065373214
estimations.csv,0.0328948,4,1678.4111894037328
liz-friedman-covid.csv,0.0326149,13,339.94840282800845
accidental_deaths.csv,7.65869,29,9667.663566496263
children_injured.csv,4.37344,33,16531.92311855223
children_killed.csv,4.91957,25,8.813227283894358
Crime1.csv,178.516,151,1811382.2373399648
knifecrime2.csv,17.2213,296,24164.773657157017
teens_injured.csv,2.43528,28,13038.41047442046
teens_killed.csv,3.66893,33,15852.008101530075
39100009-000000.csv,35.4776,194,756778812001238.4
39100009-000001.csv,37.2085,243,2636499667213513.5
39100009-000002.csv,33.0779,23,35293691400152.45
39100009-000003.csv,19.3659,37,43.940950856747286
39100009-000004.csv,22.7165,222,980.3718325837341
39100009-000005.csv,31.9715,21,29281424737736.15
39100009-000006.csv,9.77164,138,222.94112690890873
39100009-000007.csv,0.0625001,4,91175763672465.42
39100011.csv,0.0141478,23,2189.0663913434328
39100016.csv,0.444103,7,2145760246.4975271
39100019.csv,0.0197972,7,231115440.83333278
39100020.csv,0.704966,11,31783441.477324475
39100021.csv,5.93042,18,41.758018193869496
39100029.csv,0.0134938,6,52190249.64000009
39100033.csv,0.0267234,14,51.1684224706992
39100037.csv,11.3347,585,621776.9344763301
39100038.csv,0.0234494,7,1885431.3873072308
tag00120.csv,18.7026,6,18.92444390009516
32100004.csv,3.89338,52,26644543.084158257
32100009.csv,13.8653,3,93873.87381962687
32100010.csv,27.7687,2,4132948178215193.0
32100020.csv,37.2385,312,11941.513082588364
32100024.csv,7.72097,17,214557814232.83646
32100027.csv,6.57071,6,139460.5876565759
32100030.csv,4.8612,8,1663.2018983452135
32100084.csv,11.9388,144,3646.9977030501695
32100166.csv,3.74487,54,16643647055.68937
32100192.csv,20.6736,10,25274466.22886657
co2-nuts-2.csv,0.111184,22,1927.503831259781
med_en1.csv,0.006171,2,2.5656323158353422
med_en2.csv,0.0122374,5,174.8305079404303
t2020_30.csv,0.0153331,2,33.43333333333333
videos_utf8.csv,38.7164,8,5.0977234663672615
both_sexes.csv,0.0187676,7,136449549097.87038
divorce.csv,0.009259,6,2955513462500.0938
men.csv,0.0337913,7,3340750206103.508
women.csv,0.0369996,4,22831388116.958992
B-9.csv,0.188923,6,2440.291225314847
C-6.csv,0.301651,131,4790290187.799827
D-1.csv,0.533462,8,10907028.02146126
E-7.csv,0.354655,6,267933996.93527344
F-4.csv,0.70376,5,2353641.880767477
G-3.csv,0.271049,6,263933282.79739615
H-1.csv,3.81099,4,10566.159996671788
H-2.csv,4.38713,4,12062.319546232728
H-3.csv,4.63051,3,10831.295675732745
H-4.csv,5.43229,4,11865.37951854406
J-1.csv,9.31766,3,10633.215150807635
J-2.csv,4.76957,4,10316.308494832725
J-3.csv,6.53422,4,12878.451375097664
J-4.csv,4.31091,4,11765.22933489607
K-6.csv,5.91305,4,11369.583596483046
K-7.csv,5.79198,4,11789.613003270666
K-8.csv,9.30932,871,2855113363.644582
K-9.csv,4.45793,2,12641.629066531339
Z-1.csv,14.3107,17,32996.9671692176
Z-2.csv,9.20808,1120,17004.09438661527
37100078.csv,0.0615796,54,1647171304441536.2
37100141.csv,0.0493677,4,2047820021878906.0
CS_ANG.csv,0.010365,4,1415.047306138738
13100166.csv,1.62012,25,24218549728511.387
13100169.csv,0.520223,13,1319.3310411651494
13100170.csv,3.69395,2,1110.4127888808111
13100172.csv,0.698859,14,3225.052372780821
13100173.csv,0.939079,14,3445.192466485995
34100282.csv,13.4959,7,109493951.96697268
37100004.csv,18.5449,71,1720.4668190116006
37100005.csv,7.49468,7,9176.23590303266
37100006.csv,9.03537,71,1098.5009401657887
jan-feb-foils.csv,0.150441,2,142.55932203389838
csv-4.csv,0.013818,3,295.5233449550745
DailyUsage.csv,0.0060437,9,526.9242167747655
eduroam.csv,0.0077366,8,1208.195653402492
geojson-2.csv,0.032879,13,605314.8292036222
json-5.csv,0.027003,13,605314.8292036222
