REF_DATE1,DGUID1,DGUID3,UOM1,UOM_ID,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,STATUS,SYMBOL,TERMINATED,DECIMALS,REF_DATE2_Alberta,REF_DATE2_British Columbia,REF_DATE2_Canada,REF_DATE2_Manitoba,REF_DATE2_New Brunswick,REF_DATE2_Newfoundland and Labrador,REF_DATE2_Nova Scotia,REF_DATE2_Ontario,REF_DATE2_Prince Edward Island,REF_DATE2_Quebec,REF_DATE2_Saskatchewan,REF_DATE2_nan,GEO_Rate,GEO_nan,DGUID2_A,DGUID2_nan,North American Industry Classification System_Rate,North American Industry Classification System_nan,UOM2_Number,UOM2_nan,SCALAR_FACTOR_units,SCALAR_FACTOR_nan,clazz
2001,2016,11124,112330,223,0,62729409,1.9,340,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,11124,112340,223,0,62729410,1.1,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,11124,112391,223,0,62729411,1.11,177,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,11124,112399,223,0,62729412,1.12,368,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,11124,112410,223,0,62729414,1.14,3121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,11124,112420,223,0,62729415,1.15,1022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,11124,1124,223,0,62729413,1.13,4143,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,11124,112910,223,0,62729417,1.17,1226,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,11124,112920,223,0,62729418,1.18,11144,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,11124,1129,223,0,62729416,1.16,22703,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,11124,112930,223,0,62729419,1.19,385,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,11124,112991,223,0,62729420,1.2,6752,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,11124,112999,223,0,62729421,1.21,3196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111110,223,0,62729466,2.23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111120,223,0,62729467,2.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,1111,223,0,62729465,2.22,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111130,223,0,62729468,2.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111140,223,0,62729469,2.26,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111150,223,0,62729470,2.27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111190,223,0,62729471,2.28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111211,223,0,62729473,2.3,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111219,223,0,62729474,2.31,88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,1112,223,0,62729472,2.29,105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,1113,223,0,62729475,2.32,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111411,223,0,62729477,2.34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111419,223,0,62729478,2.35,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111421,223,0,62729479,2.36,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111422,223,0,62729480,2.37,70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,1114,223,0,62729476,2.33,113,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111910,223,0,62729482,2.39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,1119,223,0,62729481,2.38,104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111940,223,0,62729483,2.4,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111993,223,0,62729484,2.41,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111994,223,0,62729485,2.42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,111999,223,0,62729486,2.43,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,112110,223,0,62729446,2.3,75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,112120,223,0,62729447,2.4,58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,1121,223,0,62729445,2.2,133,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,1122,223,0,62729448,2.5,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,112310,223,0,62729450,2.7,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,112320,223,0,62729451,2.8,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,1123,223,0,62729449,2.6,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,112330,223,0,62729452,2.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,112340,223,0,62729453,2.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,112391,223,0,62729454,2.11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,112399,223,0,62729455,2.12,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,112410,223,0,62729457,2.14,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,112420,223,0,62729458,2.15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,1124,223,0,62729456,2.13,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,112910,223,0,62729460,2.17,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,112920,223,0,62729461,2.18,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
2001,2016,210,1129,223,0,62729459,2.16,62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.0
