GEO,DGUID2,Farm type,Operator income,UOM1,UOM_ID,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,COORDINATE3,COORDINATE4,VALUE,SYMBOL,TERMINATED,DECIMALS,REF_DATE1_Alberta,REF_DATE1_British Columbia,REF_DATE1_Canada,REF_DATE1_Manitoba,REF_DATE1_New Brunswick,REF_DATE1_Newfoundland and Labrador,REF_DATE1_Nova Scotia,REF_DATE1_Ontario,REF_DATE1_Prince Edward Island,REF_DATE1_Quebec,REF_DATE1_Saskatchewan,REF_DATE1_nan,REF_DATE2_Rate,REF_DATE2_nan,DGUID1_A,DGUID1_nan,DGUID3_Rate,DGUID3_nan,UOM2_Farm operators,UOM2_nan,SCALAR_FACTOR_units,SCALAR_FACTOR_nan,STATUS_0,STATUS_E,STATUS_F,STATUS_nan,clazz
2016,11124,1114,0,25000,372,0,1001442833,1,11,2,-1,3100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1114,0,999999,372,0,1001442832,1,11,1,-1,9440,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1114,100000,249999,372,0,1001442837,1,11,6,-1,915,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1114,250000,999999,372,0,1001442838,1,11,7,-1,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1114,25000,49999,372,0,1001442834,1,11,3,-1,2670,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1114,50000,74999,372,0,1001442835,1,11,4,-1,1730,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1114,75000,99999,372,0,1001442836,1,11,5,-1,885,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1119,0,25000,372,0,1001442840,1,12,2,-1,15325,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1119,0,999999,372,0,1001442839,1,12,1,-1,44125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1119,100000,249999,372,0,1001442844,1,12,6,-1,3975,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1119,250000,999999,372,0,1001442845,1,12,7,-1,675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1119,25000,49999,372,0,1001442841,1,12,3,-1,12670,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1119,50000,74999,372,0,1001442842,1,12,4,-1,7755,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1119,75000,99999,372,0,1001442843,1,12,5,-1,3725,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,112110,0,25000,372,0,1001442770,1,2,2,-1,17365,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,112110,0,999999,372,0,1001442769,1,2,1,-1,49455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,112110,100000,249999,372,0,1001442774,1,2,6,-1,4375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,112110,250000,999999,372,0,1001442775,1,2,7,-1,650,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,112110,25000,49999,372,0,1001442771,1,2,3,-1,14575,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,112110,50000,74999,372,0,1001442772,1,2,4,-1,8205,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,112110,75000,99999,372,0,1001442773,1,2,5,-1,4285,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,112120,0,25000,372,0,1001442777,1,3,2,-1,7040,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,112120,0,999999,372,0,1001442776,1,3,1,-1,17840,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,112120,100000,249999,372,0,1001442781,1,3,6,-1,485,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,112120,250000,999999,372,0,1001442782,1,3,7,-1,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,-1
2016,11124,112120,25000,49999,372,0,1001442778,1,3,3,-1,7445,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,112120,50000,74999,372,0,1001442779,1,3,4,-1,2110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,112120,75000,99999,372,0,1001442780,1,3,5,-1,695,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1122,0,25000,372,0,1001442784,1,4,2,-1,1500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1122,0,999999,372,0,1001442783,1,4,1,-1,4620,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1122,100000,249999,372,0,1001442788,1,4,6,-1,190,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
2016,11124,1122,250000,999999,372,0,1001442789,1,4,7,-1,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,-1
2016,11124,1122,25000,49999,372,0,1001442785,1,4,3,-1,1815,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1
