REF_DATE1,DGUID1,DGUID3,Country of birth,UOM_ID,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,COORDINATE3,COORDINATE4,VALUE,SYMBOL,TERMINATED,DECIMALS,REF_DATE2_Alberta,REF_DATE2_British Columbia,REF_DATE2_Canada,REF_DATE2_Manitoba,REF_DATE2_New Brunswick,REF_DATE2_Newfoundland and Labrador,REF_DATE2_Nova Scotia,REF_DATE2_Ontario,REF_DATE2_Prince Edward Island,REF_DATE2_Quebec,REF_DATE2_Saskatchewan,REF_DATE2_nan,GEO_Rate,GEO_nan,DGUID2_A,DGUID2_nan,Farm type_Rate,Farm type_nan,UOM1_All countries of birth,UOM1_All other countries,UOM1_Australia,UOM1_Austria,UOM1_Belgium,UOM1_Canada,UOM1_China,UOM1_Croatia,UOM1_Denmark,UOM1_France,UOM1_Germany,UOM1_Hungary,UOM1_India,UOM1_Ireland,UOM1_Italy,UOM1_Mexico,UOM1_Netherlands,UOM1_Poland,UOM1_Portugal,UOM1_Romania,UOM1_Russian Federation,UOM1_South Africa,UOM1_Switzerland,UOM1_Ukraine,UOM1_United Kingdom,UOM1_United States,UOM1_nan,UOM2_ Farm operators,UOM2_Farm operators,UOM2_nan,SCALAR_FACTOR_units,SCALAR_FACTOR_nan,STATUS_0,STATUS_E,STATUS_F,STATUS_nan,clazz
2016,2016,11124,0,372,0,1001419144,1,1,17,-1,465,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,0,372,0,1001419145,1,1,18,-1,350,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,0,372,0,1001419146,1,1,19,-1,150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,0,372,0,1001419147,1,1,20,-1,155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,0,372,0,1001419148,1,1,21,-1,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.0
2016,2016,11124,0,372,0,1001419149,1,1,22,-1,1680,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,0,372,0,1001419150,1,1,23,-1,160,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,0,372,0,1001419151,1,1,24,-1,3145,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,0,372,0,1001419152,1,1,25,-1,2690,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,0,372,0,1001419153,1,1,26,-1,2480,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1111,372,0,1001419310,1,8,1,-1,85095,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1111,372,0,1001419311,1,8,2,-1,80625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0
2016,2016,11124,1111,372,0,1001419312,1,8,3,-1,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0
2016,2016,11124,1111,372,0,1001419313,1,8,4,-1,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0
