dataset,time,number-clusters,calinski-harabasz
tab-12.csv,5.74834,9,68.32724763698079
tab-14.csv,1.49761,4,70.54972514997823
tab-15.csv,9.35739,8,657.2331551410679
tab-35.csv,5.15308,12,2022.8618743099028
tab-36.csv,4.57613,10,1915.070243527392
tab-37.csv,15.8144,21,150311.28317055106
tab-38.csv,12.4233,2,361.16422668799754
tab-42.csv,11.4814,13,192492.1672507278
tab-45.csv,6.11362,11,273732.0834329306
tab-47.csv,6.21164,9,2854.853873290314
tab-94.csv,2.17817,3,1215.78701921933
21100183.csv,6.4124,18,229952.09458318277
21100245.csv,2.58484,5,235.47677514792915
artpublic.csv,11.2258,17,4.9520336537477565
ccsf_en.csv,19.7108,2,230.80657225853298
dados.csv,96.1246,56,428476.82454476174
covid-line-list.csv,56.2747,2,1003.662012302106
estimations.csv,5.9757,4,3034.526956901553
liz-friedman-covid.csv,5.64558,10,243.59633237143655
accidental_deaths.csv,35.9597,14,69.66426149953753
children_injured.csv,12.4315,29,23985.50098044273
children_killed.csv,18.2082,26,22745.845852050395
Crime1.csv,116.543,2,1501.7888178635724
knifecrime2.csv,88.7961,410,57797.878029121995
teens_injured.csv,13.9098,28,16369.8236144863
teens_killed.csv,10.1578,34,290.9041041152632
39100009-000000.csv,76.9339,192,1480221212819001.8
39100009-000001.csv,170.191,245,3548297086646271.5
39100009-000002.csv,31.544,56,10.268919315782654
39100009-000003.csv,38.1294,37,58.354679080252
39100009-000004.csv,33.2026,60,318.1288215868878
39100009-000005.csv,98.5675,22,12300594964736.646
39100009-000006.csv,28.9592,114,12.887206974571841
39100009-000007.csv,8.98537,5,250205179814304.25
39100011.csv,4.59807,28,2647.7189325053587
39100016.csv,3.47403,7,1072880084.1654309
39100019.csv,4.1521,7,224695567.25000507
39100020.csv,12.6499,14,32.72295462936536
39100021.csv,18.0103,20,16.136483433270172
39100029.csv,7.30541,6,52190249.64000009
39100033.csv,4.11491,14,51.168422470699205
39100037.csv,137.338,584,3209272.1674267645
39100038.csv,6.20418,7,337043354.9583409
tag00120.csv,107.376,6,30628.49428114581
32100004.csv,25.7371,11,2321336352.91878
32100009.csv,43.4952,3,3561.0000000000055
32100010.csv,111.044,2,1033237044551226.8
32100020.csv,66.9347,7,24154.900309855126
32100024.csv,35.4238,11,231926988721.70215
32100027.csv,35.2993,6,139460.58765657592
32100030.csv,15.7761,7,6831.154663393456
32100084.csv,81.7426,135,83216677292.1785
32100166.csv,39.2346,54,17057903378.326523
32100192.csv,33.2189,11,321460692.1206995
co2-nuts-2.csv,22.0072,19,2337.814442283703
med_en1.csv,1.89341,2,4.737797489831951
med_en2.csv,3.93457,7,7998.208744625252
t2020_30.csv,4.7597,3,8.314453125000002
videos_utf8.csv,57.2456,9,12.362905342291507
both_sexes.csv,3.59338,7,216309238749.91928
divorce.csv,6.13031,7,3558150723344.411
men.csv,5.2891,7,115387321041.79164
women.csv,6.93585,7,2105471726169.3
B-9.csv,18.2742,16,2957.1720708492526
C-6.csv,15.8029,7,327119267.26911056
D-1.csv,14.1266,5,2827609.508307707
E-7.csv,21.3998,8,394423098.46619844
F-4.csv,13.1612,5,2558235.44245617
G-3.csv,10.4801,8,451086365.15271544
H-1.csv,42.4794,13,15068.103739323653
H-2.csv,77.6321,27,15769.709501108153
H-3.csv,105.272,12,10329.373317452584
H-4.csv,72.9352,13,9528.390170561797
J-1.csv,46.8001,22,10640.498424575362
J-2.csv,112.252,13,13855.208475000116
J-3.csv,51.7887,13,9092.342534261388
J-4.csv,93.1904,13,14090.290176440996
K-6.csv,60.852,13,13503.375294966372
K-7.csv,53.3934,13,13354.711131889117
K-8.csv,124.527,750,1474918492.2080736
K-9.csv,110.341,5,12562.53567622155
Z-1.csv,88.5445,472,11010257.01654951
Z-2.csv,86.4908,22,7844.843957565282
37100078.csv,6.66932,33,4502054621948985.0
37100141.csv,6.36228,5,7623677799232164.0
CS_ANG.csv,2.82296,4,1415.047306138738
13100166.csv,29.1792,24,22769745072667.605
13100169.csv,16.7905,9,576157.1245140242
13100170.csv,49.4097,22,43499.447607533046
13100172.csv,12.5958,15,3490.1368203233374
13100173.csv,12.1779,9,3263.275191933357
34100282.csv,75.0421,10,8801.772031685987
37100004.csv,149.501,75,1979.1289137908698
37100005.csv,35.8449,12,281560926.5730266
37100006.csv,68.5784,7,170703.8459626182
jan-feb-foils.csv,4.08622,2,57.03389830508479
csv-4.csv,4.69777,3,295.5233449550745
DailyUsage.csv,2.50914,10,653.9200864776373
eduroam.csv,2.32093,8,918.6047031715908
geojson-2.csv,9.84766,14,475144.8872437155
json-5.csv,6.29756,13,210768.92434101045
