dataset,time,number-clusters,silhouette
tab-12.csv,11.3642,5,0.5837033384303834
tab-14.csv,10.4217,2,0.6710273199531565
tab-15.csv,18.5828,2,0.8958823575445005
tab-35.csv,5.05469,2,0.8324889231817608
tab-36.csv,4.32172,10,0.47932874450674523
tab-37.csv,5.03242,2,0.9172361531192545
tab-38.csv,50.8309,2,0.9403131808578409
tab-42.csv,4.31342,2,0.9140127046843105
tab-45.csv,5.35135,4,0.628434333328004
tab-47.csv,5.76643,3,0.9057526906946348
tab-94.csv,2.73798,3,0.576944572694731
21100183.csv,7.5955,3,0.7803367674893468
21100245.csv,3.90978,2,0.5823298124695769
artpublic.csv,8.3537,8,0.46733896790375956
ccsf_en.csv,39.5958,2,0.9680484643444964
dados.csv,137.338,3,0.8378137520791525
covid-line-list.csv,66.1015,3,0.9487061964218767
estimations.csv,6.21794,4,0.9032529718802782
liz-friedman-covid.csv,6.61653,3,0.7119883046814811
accidental_deaths.csv,17.3341,2,0.9885283107350815
children_injured.csv,25.173,2,0.9746509689521315
children_killed.csv,22.8019,2,0.9876183688294604
Crime1.csv,325.765,2,0.987584018512803
knifecrime2.csv,59.1506,2,0.9146313787424267
teens_injured.csv,10.2958,2,0.9830883998060796
teens_killed.csv,35.9795,2,0.9744873632758609
39100009-000000.csv,100.349,2,0.9999894560119958
39100009-000001.csv,98.7055,2,0.975613061579765
39100009-000002.csv,140.618,2,0.946922814952245
39100009-000003.csv,141.07,2,0.8694164736273534
39100009-000004.csv,98.7419,2,0.9093288672233264
39100009-000005.csv,26.5101,2,0.9514239361603755
39100009-000006.csv,21.2034,2,0.9514228810108722
39100009-000007.csv,8.47513,2,0.7752430470830876
39100011.csv,2.0324,2,0.998048291478356
39100016.csv,7.10165,3,0.8042961579366741
39100019.csv,6.54072,3,0.7731538585967704
39100020.csv,18.4241,2,0.9521942445213254
39100021.csv,9.90415,2,0.9442410889210984
39100029.csv,5.62837,3,0.7708519731764755
39100033.csv,4.4185,2,0.9985867379269154
39100037.csv,112.934,2,0.9986398486006061
39100038.csv,3.26798,3,0.7731538585967704
tag00120.csv,46.0633,2,0.9333438772290343
32100004.csv,27.1613,2,0.9988358300212873
32100009.csv,176.877,3,0.8042420474158651
32100010.csv,166.59,4,0.9592088113744822
32100020.csv,174.642,2,0.998447034330868
32100024.csv,19.1851,4,0.8153981840780402
32100027.csv,29.0266,10,0.5725926777590415
32100030.csv,11.8879,3,0.9954846504595624
32100084.csv,45.9633,3,0.9954873835796553
32100166.csv,60.5616,3,0.8041297067376523
32100192.csv,89.292,2,0.9988360596977273
co2-nuts-2.csv,16.2081,4,0.5834968236511855
med_en1.csv,1.7338,2,0.3172387786605867
med_en2.csv,6.21604,4,0.9051557146843376
t2020_30.csv,2.92599,2,0.8785383598379802
videos_utf8.csv,256.269,2,0.9781994695191847
both_sexes.csv,7.65929,5,0.600844496518687
divorce.csv,2.17439,6,0.48963879046640435
men.csv,5.04357,2,0.9999965692954881
women.csv,6.69541,2,0.9999923262975453
B-9.csv,9.55042,4,0.5784964358212412
C-6.csv,11.6718,3,0.9891707453515258
D-1.csv,35.9384,3,0.9871183608014196
E-7.csv,15.711,2,0.9991610960932908
F-4.csv,22.5508,5,0.8534118243347433
G-3.csv,27.3615,2,0.999152266360026
H-1.csv,115.376,13,0.7500043670670876
H-2.csv,105.417,13,0.7456948779061341
H-3.csv,213.72,3,0.9243763996698258
H-4.csv,90.8802,13,0.7525506580559819
J-1.csv,134.191,13,0.7364449322253552
J-2.csv,123.723,13,0.7498631681055056
J-3.csv,61.5505,13,0.7498889661367018
J-4.csv,100.101,13,0.7488577500838736
K-6.csv,88.2592,13,0.7901230539180488
K-7.csv,89.6927,13,0.748919338389425
K-8.csv,307.564,2,0.9360114670075727
K-9.csv,259.173,898,0.16185933425291021
Z-1.csv,93.8704,22,0.8059976459284943
Z-2.csv,166.173,1301,0.3446739314649528
37100078.csv,4.27752,2,0.9986435408676924
37100141.csv,5.43599,2,0.9999998864794765
CS_ANG.csv,1.8327,3,0.7193840344686846
13100166.csv,27.1763,3,0.6431410968463208
13100169.csv,10.0657,3,0.6603031515179147
13100170.csv,52.6537,2,0.9703601180497803
13100172.csv,12.1264,2,0.9915513916441981
13100173.csv,9.24858,2,0.9915524604118586
34100282.csv,148.692,2,0.9986407456114479
37100004.csv,88.2928,2,0.9988496567327824
37100005.csv,67.2919,2,0.9988511393063966
37100006.csv,98.1035,2,0.9983780923773087
jan-feb-foils.csv,3.9862,2,0.9397882299125819
csv-4.csv,3.10135,3,0.8739639672262323
DailyUsage.csv,2.21159,3,0.7073780657927906
eduroam.csv,1.47283,2,0.7458863142226536
geojson-2.csv,5.01826,3,0.8408642806995913
json-5.csv,2.68524,3,0.8375988206373775
