dataset,time,number-clusters,davies-bouldin
tab-12.csv,0.0095895,6,0.4380687293469829
tab-14.csv,0.0048954,2,0.17187101398537843
tab-15.csv,0.0148264,8,0.11072837515773351
tab-35.csv,0.0224625,2,0.12870393503382455
tab-36.csv,0.0099975,10,0.24578640283882672
tab-37.csv,0.0301319,2,0.0638559481472081
tab-38.csv,0.0265724,2,0.08230217232109248
tab-42.csv,0.0394029,2,0.06633453430398005
tab-45.csv,0.0160324,2,0.0843313014105829
tab-47.csv,0.0089641,2,0.13913971163192673
tab-94.csv,0.0046087,2,0.034217266984805615
21100183.csv,0.0251771,3,0.31199001495757717
21100245.csv,0.0050189,2,0.7453559924999298
artpublic.csv,0.0916829,2,0.5568426442193669
ccsf_en.csv,11.2472,2,0.009334626893700078
dados.csv,16.1648,2995,0.6678655167394019
covid-line-list.csv,3.07478,3,0.0777779038573677
estimations.csv,0.078886,5,0.26823550532755247
liz-friedman-covid.csv,0.0073965,12,0.3291112218231422
accidental_deaths.csv,23.3584,2,0.006850077849137826
children_injured.csv,6.98339,2,0.0068776754734329966
children_killed.csv,9.54244,2,0.006877690597696786
Crime1.csv,72.0425,2,0.0011394327648753852
knifecrime2.csv,13.3708,42,0.23650975924676793
teens_injured.csv,1.62455,2,0.012788177007285361
teens_killed.csv,2.41874,2,0.011960526864225935
39100009-000000.csv,36.0899,3,0.31178486286077506
39100009-000001.csv,54.0937,3,0.31678726812532076
39100009-000002.csv,28.1747,3,0.10691536618192098
39100009-000003.csv,38.3129,3,0.709561498188617
39100009-000004.csv,18.9644,3,0.46281128736908955
39100009-000005.csv,24.2659,5,0.27036388845353176
39100009-000006.csv,33.0409,2,0.15167365751741918
39100009-000007.csv,0.0897827,2,4.517451998252158e-06
39100011.csv,0.0074886,3,0.2137605744294108
39100016.csv,0.247423,2,0.0012337548966899299
39100019.csv,0.0305928,3,0.21368636420879797
39100020.csv,1.30945,2,0.001699086645809196
39100021.csv,12.4759,2,0.09390791360053424
39100029.csv,0.0120505,3,0.2065736333558771
39100033.csv,0.0062331,3,0.21376057442984586
39100037.csv,14.9517,2,1.3845281446810584e-06
39100038.csv,0.0228638,3,0.21368636420898424
tag00120.csv,8.49347,3,0.16788335263831614
32100004.csv,4.64742,3,0.27993036239527536
32100009.csv,21.0143,3,0.1859711824878918
32100010.csv,25.6247,2,0.0015146647083120008
32100020.csv,13.319,2,0.0015146647083120008
32100024.csv,5.46458,8,0.8707268083754445
32100027.csv,3.21503,2,0.0018571069846664888
32100030.csv,5.01876,9,0.4263329617657472
32100084.csv,3.79715,2,0.0010710218869150608
32100166.csv,3.00734,3,0.18597127686383455
32100192.csv,40.7527,3,0.18601794352510145
co2-nuts-2.csv,0.0950216,130,0.3107394199970365
med_en1.csv,0.0075733,2,0.30638480947702434
med_en2.csv,0.0051236,7,0.5112641184285184
t2020_30.csv,0.0182848,2,0.0935550498529252
videos_utf8.csv,73.9577,2,0.003329585941961119
both_sexes.csv,0.017427,3,0.3365182901222948
divorce.csv,0.0129019,2,2.2563068673042135e-06
men.csv,0.021049,5,0.31562916474020747
women.csv,0.028974,5,0.2070856882681446
B-9.csv,0.225647,2,0.43064490470758165
C-6.csv,0.199786,3,0.16276940882043758
D-1.csv,0.66585,3,0.09296175077833592
E-7.csv,0.282157,3,0.10081539727975407
F-4.csv,0.665005,3,0.21120194931016234
G-3.csv,0.273961,3,0.19907628763816934
H-1.csv,6.44775,8,0.8620841147840412
H-2.csv,11.6954,8,1.463329792853781
H-3.csv,7.60175,1281,0.28223077292467497
H-4.csv,8.06632,8,1.345256182066152
J-1.csv,12.4672,8,1.5662957145874303
J-2.csv,14.6787,1287,0.30823399518859756
J-3.csv,19.728,8,1.5093105220008214
J-4.csv,7.00494,4,2.4913914400656823
K-6.csv,12.7886,12,1.910774699069865
K-7.csv,5.02315,20,2.5781076831400163
K-8.csv,14.2996,599,0.3356798564186981
K-9.csv,9.9234,246,0.2557370673304865
Z-1.csv,19.6251,2,0.005274055336871175
Z-2.csv,6.66439,1264,0.3871032903118931
37100078.csv,0.0591888,2,0.0011983063319508445
37100141.csv,0.0401178,2,6.014751219463619e-08
CS_ANG.csv,0.0071668,3,0.0321378280468531
13100166.csv,1.33855,2,5.140940555225666e-06
13100169.csv,0.515399,2,0.006321947559914672
13100170.csv,4.34148,2,0.015176969495269083
13100172.csv,0.493931,2,0.007728300934213595
13100173.csv,0.688417,2,0.007728300934213635
34100282.csv,6.80237,2,0.0012014212479648464
37100004.csv,13.5957,3,0.21171158049054117
37100005.csv,11.8297,2,0.0014912856057747068
37100006.csv,17.9934,2,0.0010362505698586538
jan-feb-foils.csv,0.144437,2,0.033157198436516065
csv-4.csv,0.007622,13,0.37030235075378093
DailyUsage.csv,0.010779,15,0.45777777777777706
eduroam.csv,0.005296,2,0.19403097324343904
geojson-2.csv,0.0126034,5,0.13701480382399012
json-5.csv,0.0149858,7,0.1455305044661659
