1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,TARGET ,indic_eu_T2020_30,indic_eu_nan,geo\time_AT,geo\time_BE,geo\time_BG,geo\time_CH,geo\time_CY,geo\time_CZ,geo\time_DE,geo\time_DK,geo\time_EE,geo\time_EL,geo\time_ES,geo\time_EU27_2007,geo\time_EU27_2020,geo\time_EU28,geo\time_FI,geo\time_FR,geo\time_HR,geo\time_HU,geo\time_IE,geo\time_IS,geo\time_IT,geo\time_LI,geo\time_LT,geo\time_LU,geo\time_LV,geo\time_MT,geo\time_NL,geo\time_NO,geo\time_PL,geo\time_PT,geo\time_RO,geo\time_SE,geo\time_SI,geo\time_SK,geo\time_TR,geo\time_UK,geo\time_nan,clazz
100,98.32,95.4,93.72,93.33,94.29,96.33,94.76,94.17,92.41,92.39,93.22,92.59,94.22,94.4,93.92,93.79,93.02,91.0,84.34,86.18,83.44,82.33,80.64,77.59,78.28,77.92,78.38,76.76,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,96.84,94.69,97.75,105.46,100.62,108.96,107.19,102.11,101.36,98.72,106.14,109.48,120.08,115.2,98.59,114.53,112.53,101.51,96.18,107.11,96.8,89.12,89.8,84.01,79.06,83.16,79.59,81.41,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,104.84,102.97,98.97,98.07,99.41,102.69,101.44,104.04,102.86,101.84,102.69,101.46,102.37,102.21,102.48,100.44,98.67,97.32,93.64,94.78,89.76,89.78,89.96,84.41,85.28,85.44,86.35,83.1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,77.62,71.38,71.64,69.13,71.0,72.62,76.51,77.77,81.23,80.03,83.69,87.09,91.58,91.66,93.22,94.41,98.85,96.19,88.77,87.51,86.55,80.99,76.7,74.34,75.62,76.15,78.71,75.23,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,92.83,82.21,83.11,82.11,80.37,82.75,81.09,80.63,81.26,78.3,80.35,78.53,81.64,80.83,80.69,79.38,77.63,75.56,69.04,69.43,67.72,63.62,60.64,61.33,64.95,65.48,68.25,67.82,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,101.14,100.66,102.16,104.26,106.68,110.17,112.92,117.35,119.8,124.04,128.09,124.84,125.28,124.08,127.69,126.82,125.74,124.38,113.15,112.47,104.76,105.23,105.41,105.34,109.56,113.34,113.29,113.6,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,94.59,91.89,93.91,92.3,95.82,98.2,102.96,107.8,114.16,115.87,111.61,112.93,112.49,116.19,113.41,130.29,138.14,146.02,135.34,134.26,129.13,129.71,131.29,133.69,138.58,143.63,151.54,155.8,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,100.37,100.16,98.85,97.78,102.87,101.8,103.3,105.75,106.9,107.71,107.99,108.98,112.88,114.03,114.36,112.59,111.37,108.88,98.19,100.44,98.12,94.43,87.63,83.71,86.3,85.8,85.05,84.41,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,103.28,103.36,106.48,100.57,102.25,103.29,108.79,113.61,112.31,108.21,108.04,110.77,115.28,115.5,115.81,117.42,104.61,113.35,107.02,100.46,94.79,98.91,101.75,87.81,86.96,82.56,85.16,79.62,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
100,104.3,64.03,51.31,48.39,46.37,48.49,47.56,49.57,43.65,40.47,42.16,42.89,43.25,45.04,47.38,48.03,52.63,50.82,41.68,43.44,44.67,44.59,42.09,42.02,42.64,42.77,43.24,42.64,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
