2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,unit_TCO2,unit_nan,airsect_TOT_X_5,airsect_nan,geo\time_EG,geo\time_IL,geo\time_JO,geo\time_PS,geo\time_nan,clazz
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,303100000.0,288400000.0,231300000.0,219300000.0,216100000.0,1,0,1,0,1,0,0,0,0,0.0
80091665.9,79787303.2,80467125.4,76795424.9,79279428.3,78776451.5,76826615.7,77040742.0,74201001.3,78088659.1,76545385.2,73385335.8,72024740.5,1,0,1,0,0,1,0,0,0,0.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22369000.0,21545800.0,20866300.0,20916600.0,20938000.0,1,0,1,0,0,0,1,0,0,0.0
4777200.0,4645500.0,4496100.0,4614900.0,3612000.0,3380600.0,3226300.0,3276500.0,3026600.0,2620300.0,2710700.0,2739900.0,4090600.0,1,0,1,0,0,0,0,1,0,0.0
