date_day,date_month,date_year,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,poor_4554,mid_4554,rich_4554,clazz
1,1,1960,0.034444544,0.034888866,0.033669378,0.027512772999999997,0.027512772999999997,-999.0,0.07195135799999999,0.0212253,0.022562334,0.039650565,0.040071422999999995,0.038703315,0.031885681,0.031885681,-999.0,0.07537252400000001,0.02933657,0.023504887000000002,0.0
1,1,1970,0.049256004000000006,0.049999842,0.048705487,0.041259454,0.041259454,-999.0,0.113735815,0.030301039,0.021927072000000002,0.050625619000000004,0.050565763,0.051472699000000004,0.048310528,0.048310528,-999.0,0.11249624400000001,0.033869469,0.021232801000000003,0.0
1,1,1980,0.106005035,0.10415127800000001,0.112699471,0.097772077,0.097772077,-999.0,0.241647046,0.073671536,0.035015212999999996,0.08818511,0.08566350800000001,0.095009469,0.091034879,0.091034879,-999.0,0.198673212,0.06300866200000001,0.02791567,0.0
1,1,1990,0.150804954,0.159380947,0.169670047,0.11495532800000001,0.118534321,0.109145367,0.326948389,0.111909686,0.049725273,0.145725716,0.140779141,0.166331032,0.13436974,0.135660926,0.132741303,0.306613778,0.11498063800000001,0.045775014,0.0
1,1,2000,0.156840985,0.175446157,0.173803244,0.10561771699999999,0.110539691,0.09590346699999999,0.343088593,0.116583707,0.049394967000000005,0.179580605,0.18477675899999998,0.20110350100000002,0.14904161,0.153693129,0.142549803,0.382135424,0.142242087,0.051525102,0.0
1,1,2001,0.15730639400000002,0.174116038,0.178169065,0.107038861,0.111860642,0.09719692,0.34283554200000005,0.122780629,0.040574313,0.18265129600000002,0.19023657600000002,0.205737069,0.148631625,0.15326921400000001,0.141745345,0.390038503,0.146513472,0.045222356,0.0
1,1,2002,0.156508246,0.17476931399999998,0.179294187,0.103442191,0.10968956099999999,0.090762555,0.341088264,0.11992642,0.038796206,0.180650434,0.19209040300000002,0.19804839999999999,0.14643862400000002,0.152887973,0.13677714,0.38379508100000004,0.14624230900000001,0.046088809,0.0
1,1,2003,0.15384351400000001,0.172544835,0.17697536,0.102549904,0.11068292199999999,0.08638485900000001,0.333104884,0.121047474,0.039262151,0.18469755,0.194891125,0.206791893,0.14734955,0.151223164,0.141439297,0.391315123,0.151240035,0.042694244000000006,0.0
1,1,2004,0.154840965,0.17756454600000002,0.177079547,0.100336652,0.105989519,0.08911387800000001,0.334327694,0.121930136,0.03679592,0.18411122,0.193739412,0.20831170699999998,0.145630412,0.15184099,0.135796313,0.391198995,0.150755077,0.04106048,0.0
1,1,2005,0.152919938,0.175163528,0.17674265,0.099480659,0.10711495900000001,0.084992049,0.329073677,0.12240404099999999,0.037070518,0.184324607,0.19721310399999997,0.20527615300000002,0.143482252,0.147394622,0.137304926,0.389394323,0.150802019,0.042773004,0.0
1,1,2006,0.161889856,0.189436729,0.18412097600000002,0.1038355,0.110858328,0.090502687,0.33716664799999996,0.12610861,0.057894792,0.19614987600000003,0.210707702,0.219401459,0.150398079,0.156880446,0.139725767,0.401970263,0.159174241,0.063529944,0.0
1,1,2007,0.16046887199999998,0.18721641100000003,0.18496086,0.103929416,0.111882334,0.08905042699999999,0.335230249,0.12220858300000001,0.05816887,0.19496022,0.21274408600000003,0.216564008,0.14659658,0.153198306,0.13554113199999998,0.406418939,0.154820693,0.063713415,0.0
1,1,2008,0.161158758,0.188376635,0.18944998100000002,0.10201919400000001,0.11115288599999999,0.085194381,0.333739464,0.124718312,0.060335699000000007,0.19763059600000002,0.216824325,0.219634986,0.146631082,0.151387631,0.13851075,0.40912531,0.156000693,0.06670997,0.0
1,1,2009,0.160493095,0.186987579,0.190136258,0.10194260699999999,0.111839066,0.084393074,0.330014935,0.12468418199999999,0.059975258,0.197649298,0.217975117,0.21947344100000002,0.144457027,0.149930372,0.135111462,0.40676466,0.157969426,0.067576579,0.0
1,1,2010,0.163651086,0.18989580399999997,0.197269447,0.10306384699999999,0.111631706,0.088167422,0.328724069,0.133819591,0.05776135,0.203509987,0.224316503,0.22446156,0.150590218,0.158164195,0.137254115,0.40980069399999997,0.16715608199999998,0.069695121,0.0
1,1,2011,0.16630283099999998,0.192398917,0.200458833,0.107760526,0.11728366800000001,0.091883495,0.32954144,0.138364058,0.05881448400000001,0.203296318,0.225632466,0.22444827,0.14875081699999998,0.155389126,0.137035703,0.407424031,0.169006672,0.067626499,0.0
1,1,2012,0.165486446,0.190206333,0.20317648600000002,0.10740666199999999,0.115291876,0.094313675,0.331560374,0.133077364,0.056354992,0.207388897,0.228668521,0.23181682899999997,0.152474709,0.160082775,0.13931655,0.41006916299999996,0.174465161,0.070381301,0.0
