date_day,date_month,date_year,all_2534,HS_2534,SC_2534,BAp_2534,BAo_2534,GD_2534,White_2534,Black_2534,Hisp_2534,NE_2534,MA_2534,Midwest_2534,South_2534,Mountain_2534,Pacific_2534,poor_2534,mid_2534,rich_2534,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,White_3544,Black_3544,Hisp_3544,NE_3544,MA_3544,Midwest_3544,South_3544,Mountain_3544,Pacific_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,White_4554,Black_4554,Hisp_4554,NE_4554,MA_4554,Midwest_4554,South_4554,Mountain_4554,Pacific_4554,poor_4554,mid_4554,rich_4554,work_2534,nowork_2534,work_HS_2534,work_SC_2534,work_BAp_2534,work_BAo_2534,work_GD_2534,nowork_HS_2534,nowork_SC_2534,nowork_BAp_2534,nowork_BAo_2534,nowork_GD_2534,work_White_2534,work_Black_2534,work_Hisp_2534,nowork_White_2534,nowork_Black_2534,nowork_Hisp_2534,work_poor_2534,work_mid_2534,work_rich_2534,nowork_poor_2534,nowork_mid_2534,nowork_rich_2534,nokids_all_2534,kids_all_2534,nokids_HS_2534,nokids_SC_2534,nokids_BAp_2534,nokids_BAo_2534,nokids_GD_2534,kids_HS_2534,kids_SC_2534,kids_BAp_2534,kids_BAo_2534,kids_GD_2534,nokids_poor_2534,nokids_mid_2534,nokids_rich_2534,kids_poor_2534,kids_mid_2534,kids_rich_2534,clazz
1,1,1960,0.162455234,0.150065379,0.18448038600000002,0.22478029100000002,0.22478029100000002,-999.0,0.15461842,0.203807939,0.178167214,0.190510575,0.203524614,0.15040015699999998,0.143326326,0.125360482,0.172399747,0.16912675300000002,0.09853111199999999,0.28322763300000003,0.082434787,0.086304301,0.062418627000000004,0.091064273,0.091064273,-999.0,0.07871712,0.110438269,0.08831282800000001,0.096978954,0.102366794,0.08314677599999999,0.07043171299999999,0.059918556,0.076612533,0.120016019,0.051668204,0.10625274800000001,0.07423062400000001,0.076661185,0.05617047,0.082534829,0.082534829,-999.0,0.07249920900000001,0.079972906,0.076270021,0.092957416,0.088654366,0.076218882,0.061542831,0.055110698,0.072058914,0.119229809,0.04667209,0.082804376,0.11708218599999999,0.266671532,0.10618107199999999,0.13281399800000002,0.173868592,0.173868592,-999.0,0.240153223,0.359544553,0.346075003,0.346075003,-999.0,0.11364860199999999,0.140783576,0.114037575,0.262163816,0.27041018899999997,0.274401554,0.10846692599999999,0.072673467,0.214692193,0.233630527,0.18345251399999998,0.481089365,0.49532106600000003,0.001965039,0.478535971,0.5224941479999999,0.557714775,0.557714775,-999.0,0.002346439,0.001115998,0.000238772,0.000238772,-999.0,0.524838011,0.433499352,0.529459218,0.004020248,0.001163337,0.0015432760000000001,0.0
1,1,1970,0.155409271,0.14122306199999998,0.17232095600000003,0.199076819,0.199076819,-999.0,0.147260998,0.20853565,0.14888969800000001,0.181185185,0.19309104,0.141013692,0.137847798,0.12907117,0.178545591,0.19020488300000002,0.09848081,0.23456476399999998,0.078710392,0.08142808900000001,0.067606213,0.08491729199999999,0.08491729199999999,-999.0,0.073514778,0.121832451,0.07249579099999999,0.095610295,0.102066465,0.071854933,0.070849528,0.053674649000000005,0.07927885900000001,0.125162379,0.051424801,0.08200513200000001,0.064728581,0.068633812,0.04860575599999999,0.06414956,0.06414956,-999.0,0.061912787000000004,0.091937249,0.058371041,0.079137775,0.080268799,0.064624723,0.056595430999999995,0.04317180599999999,0.057735235999999995,0.120549466,0.040574389,0.056685495999999995,0.11243014400000001,0.277916108,0.101039251,0.125607325,0.149805571,0.149805571,-999.0,0.252216235,0.33928324299999996,0.296581304,0.296581304,-999.0,0.10793994300000001,0.14959909999999998,0.104134763,0.273731096,0.29902807800000003,0.233377135,0.127483489,0.07824687400000001,0.173622335,0.27946338,0.183232498,0.433020908,0.44182159,0.003092397,0.442948054,0.440291563,0.440525328,0.440525328,-999.0,0.004270388,0.00091759,0.000385981,0.000385981,-999.0,0.520404022,0.369807016,0.459472965,0.006932626,0.001739975,0.001929704,0.0
1,1,1980,0.237300239,0.208149955,0.256439282,0.28341618,0.28341618,-999.0,0.22351268100000002,0.333648753,0.220328725,0.28212261899999996,0.289667964,0.217214975,0.201409438,0.217817452,0.286321061,0.351288925,0.17398036600000003,0.24990936100000002,0.077162887,0.07791616900000001,0.071132073,0.087031884,0.087031884,-999.0,0.069594431,0.134633088,0.087079394,0.087739669,0.10385324800000001,0.06752588400000001,0.065602675,0.059703369000000006,0.092515944,0.14270404,0.053261157999999996,0.058863368,0.059457552000000004,0.061868572999999996,0.051076735,0.064092392,0.064092392,-999.0,0.054995920999999996,0.095520723,0.066299318,0.073676587,0.08014610400000001,0.056146709,0.050746201,0.04010103,0.061122376,0.121826,0.038242435,0.039517191,0.187159088,0.343071914,0.154526861,0.206870568,0.22946777,0.22946777,-999.0,0.298895949,0.390444324,0.406105458,0.406105458,-999.0,0.17958745399999998,0.25367281199999997,0.174262291,0.33132805600000004,0.42281923,0.28315952,0.301851637,0.155588971,0.18165839399999997,0.392111221,0.23117729399999998,0.45254069799999996,0.468041165,0.006422215,0.45990549799999997,0.473112589,0.475600333,0.475600333,-999.0,0.008426836,0.0048412659999999995,0.002045034,0.002045034,-999.0,0.587701545,0.406656952,0.43631882299999997,0.018501971000000002,0.0036690579999999998,0.002136578,0.0
1,1,1990,0.34919496200000005,0.33946795,0.332920361,0.390247005,0.40332730299999997,0.353039461,0.32144755,0.506135965,0.34643244700000003,0.405162026,0.415316298,0.324659618,0.310660651,0.30933157,0.395984072,0.468159605,0.281082606,0.362813977,0.126991449,0.138101943,0.112977218,0.126176357,0.131900918,0.117548222,0.114130865,0.22449571899999998,0.132872603,0.142997071,0.156927855,0.11343381699999999,0.10887554099999999,0.11134259099999999,0.15608609199999998,0.22868856699999998,0.095498004,0.08788959199999999,0.064975342,0.072057995,0.051037255,0.064184876,0.06369827900000001,0.064718001,0.057959678,0.117916374,0.078737574,0.074636682,0.08720203,0.058316602,0.055439224,0.052012511,0.075037425,0.133072659,0.043571534,0.038647416000000004,0.295174537,0.46130491700000004,0.27070816,0.28440766,0.34866402700000004,0.361575139,0.309660178,0.442924786,0.46252511,0.525317616,0.548301886,0.47095928299999995,0.27895723899999997,0.411225575,0.298589386,0.433472605,0.604935731,0.40320552600000004,0.441293451,0.25480427,0.286000097,0.490573052,0.366920687,0.559985527,0.575367362,0.025429089,0.5820636339999999,0.5605983720000001,0.579806363,0.592613795,0.541829728,0.036455813,0.017414927,0.00696266,0.00794887,0.004377092,0.675805355,0.534998809,0.535760967,0.069201375,0.015199581,0.008945653000000001,0.0
1,1,2000,0.39191301700000003,0.37971282,0.377860734,0.429048455,0.44340007299999995,0.388785051,0.369256404,0.502686537,0.36567996799999997,0.463292225,0.46569337899999996,0.379297641,0.351226452,0.357330805,0.428664957,0.542729365,0.341773425,0.338113299,0.17844515100000002,0.19914259,0.161129164,0.160500049,0.16939290399999998,0.14469901699999999,0.160581374,0.295844021,0.175073089,0.195581064,0.208489719,0.167079424,0.161569156,0.16365111300000001,0.204718895,0.315243881,0.141099415,0.11291785,0.09680419400000001,0.112857385,0.085864228,0.086494716,0.09268533699999999,0.078085998,0.087660319,0.17162581,0.099643961,0.10876888,0.11826273300000001,0.090960611,0.083858715,0.09065769900000001,0.11319670800000001,0.200361939,0.06969987700000001,0.047402010999999994,0.350518317,0.477151166,0.331698987,0.336463277,0.391326401,0.405839636,0.347281004,0.447889131,0.491841194,0.54718006,0.571539124,0.49284836600000004,0.331604627,0.452139148,0.34241361299999995,0.47890563,0.560107345,0.393259707,0.528627065,0.321256637,0.295002621,0.554827614,0.408523883,0.44153616700000003,0.597657841,0.057820654000000006,0.592254624,0.600117298,0.603265085,0.620289102,0.554748737,0.07991899200000001,0.047297978,0.019472246999999998,0.021759254,0.013285706000000001,0.722435391,0.586712968,0.48668978700000004,0.142259765,0.041290334,0.020636444,0.0
1,1,2001,0.39974017799999995,0.39316428200000003,0.385154379,0.42551368,0.442640023,0.37893834600000004,0.375995953,0.536854381,0.379711894,0.481012686,0.477236745,0.379986691,0.360026059,0.357624325,0.439471997,0.560838123,0.359708116,0.317853725,0.17693747,0.19507167399999997,0.162341271,0.160999061,0.167150322,0.14967572199999998,0.162176197,0.29744110100000004,0.16335730199999998,0.18448767,0.20369404800000002,0.16713054900000002,0.15855096,0.167462955,0.20789986800000002,0.326818414,0.14609992,0.088538089,0.09460835199999999,0.105503401,0.08566612400000001,0.08882399099999999,0.094650685,0.080457717,0.085891744,0.16765133699999998,0.09773136699999999,0.104526874,0.114193615,0.090005843,0.083619443,0.08381691,0.109376449,0.19932597600000002,0.07244676900000001,0.032352287,0.361273091,0.49867934,0.349775555,0.346963089,0.392564216,0.407597518,0.34880687899999996,0.484466302,0.499207509,0.5285036089999999,0.560779099,0.456642417,0.341222356,0.491863875,0.349113667,0.478582283,0.620138544,0.45136028899999997,0.538259437,0.34285799100000003,0.282485321,0.585036121,0.418838728,0.46601309700000004,0.621630141,0.055467563,0.64017392,0.61563467,0.6028825879999999,0.624308313,0.543802879,0.076408081,0.046410829,0.019473822,0.02164001,0.013764715,0.7353691370000001,0.609036355,0.510359302,0.137530433,0.042096444000000004,0.024350704,0.0
1,1,2002,0.396964685,0.39547003299999994,0.38142381700000005,0.41528095200000004,0.429555278,0.376287101,0.372148565,0.534875856,0.379527083,0.456960824,0.47193915399999997,0.380930141,0.363869104,0.350178551,0.431188818,0.554793057,0.359645179,0.313441403,0.180454775,0.19424783399999998,0.17065299899999997,0.167592777,0.175753265,0.152254044,0.16441046,0.28803063,0.18444106300000002,0.21134605399999998,0.208846793,0.17193562899999998,0.159272042,0.161987709,0.210672571,0.325724393,0.15325937,0.089023324,0.101136741,0.11200742400000001,0.094824689,0.09272538599999999,0.097631729,0.08558253699999999,0.093297296,0.18264872899999998,0.08818890199999999,0.116672711,0.122775143,0.096435403,0.087786943,0.083500164,0.12059477,0.214419687,0.07713152,0.034921387000000005,0.357179898,0.489612361,0.356549888,0.341194915,0.37432875200000004,0.38702109700000004,0.338212333,0.470724436,0.48989339299999995,0.528649307,0.552257451,0.47082758,0.33401130100000004,0.48572094200000004,0.349406283,0.471559116,0.618900329,0.44609924700000003,0.532703927,0.34232418200000003,0.27701211800000003,0.576120924,0.41280677,0.45825914799999995,0.620960049,0.05581993,0.644726672,0.611915901,0.5974026370000001,0.613921994,0.5514254470000001,0.076435455,0.050526972999999996,0.016131694,0.018990232,0.00863183,0.7354469579999999,0.608334943,0.511556375,0.147034911,0.04065288,0.019092691999999998,0.0
1,1,2003,0.407329746,0.403300096,0.394663245,0.42658249200000004,0.447879055,0.36657677899999996,0.380288457,0.5567342270000001,0.386226525,0.467259608,0.500619884,0.392125501,0.36611665,0.35550232299999995,0.448020119,0.571418098,0.371776046,0.31433559899999997,0.180870017,0.195576864,0.17307396,0.16508941300000002,0.174220933,0.148494811,0.164068093,0.305985035,0.167907351,0.200396233,0.213431882,0.16980301399999997,0.16471217400000002,0.154266278,0.20620232,0.324676833,0.153965827,0.08848616699999999,0.104794237,0.117391811,0.097735898,0.094476701,0.103858638,0.080864916,0.095124375,0.18835884600000002,0.102918527,0.10864154300000001,0.127691361,0.096553482,0.09439799,0.09107087900000001,0.123446536,0.224318758,0.080089705,0.034318073,0.365899948,0.504418251,0.359402741,0.348546511,0.392125454,0.414352286,0.324805661,0.48763291700000005,0.516041988,0.527413103,0.553564555,0.46700310799999994,0.343411911,0.482965256,0.361346483,0.478612015,0.670122301,0.44382828,0.543765947,0.356507733,0.275836898,0.597285681,0.42074517899999997,0.464262324,0.6297984879999999,0.060004312000000004,0.65067879,0.623741784,0.607925768,0.627214101,0.549993296,0.07927384900000001,0.056096579,0.02248956,0.026193044,0.013380113,0.749086985,0.618095983,0.511294632,0.14477643699999998,0.04962232,0.020295646,0.0
1,1,2004,0.410666674,0.411501021,0.39420297,0.42607306,0.447594979,0.36869095700000004,0.38435409200000004,0.566588808,0.392210014,0.501443042,0.49471191200000003,0.393987982,0.37088491100000004,0.366630254,0.448724581,0.568108211,0.37652752899999997,0.318145788,0.187378008,0.207814067,0.17379949600000003,0.168449042,0.180802866,0.14581176199999998,0.16931612699999998,0.302972226,0.187688976,0.209806766,0.213796001,0.17083359,0.174413495,0.180802044,0.20994891,0.34309675100000003,0.158468011,0.088201503,0.10895909,0.12077051400000001,0.09856814900000001,0.102278459,0.109322407,0.091415778,0.09990681900000001,0.19330901600000003,0.100783864,0.121484085,0.127506421,0.10518776699999999,0.09473067,0.104311719,0.127311551,0.227238253,0.08608565800000001,0.035769248999999996,0.370094605,0.50348336,0.36866334799999995,0.353478888,0.388467845,0.410897195,0.32569851699999997,0.490700084,0.500093961,0.534598543,0.559089185,0.477502899,0.34758742200000003,0.507883371,0.36830829,0.477980178,0.658441895,0.44801809,0.5518238910000001,0.359811145,0.275813008,0.583382534,0.428142106,0.479944682,0.6317648229999999,0.064330123,0.6528464970000001,0.630288387,0.6056478670000001,0.626280328,0.5475132220000001,0.090142245,0.051255848,0.025622122,0.029325023,0.016852518,0.738992377,0.6216812270000001,0.519876506,0.156383316,0.050979074000000006,0.024793118,0.0
1,1,2005,0.423207171,0.430145922,0.408744151,0.427055891,0.45024653299999995,0.363342147,0.39822233799999995,0.5668813189999999,0.40362433200000003,0.49732856200000003,0.509783292,0.407957575,0.385847654,0.38634028600000003,0.45443018700000004,0.58415093,0.39060141,0.32608900399999996,0.18873362300000002,0.210310162,0.17792382699999998,0.165810059,0.178241709,0.143466662,0.173165182,0.30366387899999997,0.18292569399999997,0.20648736899999998,0.21795067199999998,0.174050958,0.172117607,0.181729019,0.21690749,0.342035074,0.163020594,0.0865277,0.11593673,0.131328164,0.106881838,0.102260495,0.10973739099999999,0.091020781,0.106272571,0.199817584,0.110514987,0.120331978,0.136120511,0.11132848599999999,0.10511494199999999,0.106608897,0.131425439,0.2456834,0.090880338,0.035211332000000005,0.379477441,0.521655036,0.376170835,0.36833045200000003,0.395554038,0.417308334,0.33197439,0.526733317,0.514607493,0.518035651,0.5516849429999999,0.439997635,0.357704056,0.50975856,0.37364027,0.501758716,0.6532932929999999,0.47019773600000003,0.562674304,0.372619333,0.280380468,0.603513454,0.44598935,0.49459441299999996,0.641291614,0.070424218,0.665361206,0.641495146,0.607899445,0.631419909,0.539746343,0.100479073,0.057540163,0.021581937000000002,0.024957922999999996,0.013313066,0.750873517,0.6296566,0.5315198170000001,0.174229807,0.057616020999999996,0.021771151000000002,0.0
