dataset,time,number-clusters,davies-bouldin
tab-12.csv,1.8408992290496826,3,0.1471616172558647
tab-14.csv,2.240018367767334,2,0.013491213420527864
tab-15.csv,2.412318229675293,2,0.2331299689713967
tab-35.csv,2.1993038654327393,2,0.17594624962965255
tab-36.csv,1.8692498207092285,2,0.0
tab-37.csv,1.9988887310028076,2,0.25087522566842424
tab-38.csv,2.144883632659912,2,0.2599064410307537
tab-42.csv,2.509982109069824,2,0.24880251088585814
tab-45.csv,2.078477144241333,2,0.14586868310398834
tab-47.csv,2.0091664791107178,2,0.18336356663362954
tab-94.csv,1.455482006072998,3,0.03338472156586937
21100183.csv,2.8668086528778076,2,0.460875232256999
21100245.csv,2.2465765476226807,3,0.0
artpublic.csv,2.7305164337158203,2,0.5337253215576416
ccsf_en.csv,5.73499870300293,2,0.3554618916888097
dados.csv,270.2474570274353,749,0.0
covid-line-list.csv,23.3505756855011,2,0.24000792798471007
estimations.csv,2.294253349304199,2,0.3750000190225838
liz-friedman-covid.csv,1.9842379093170166,2,0.4274691526841513
Crime1.csv,70.70900630950928,2,0.1751417228385537
accidental_deaths.csv,5.607484340667725,2,0.427699623132123
children_injured.csv,5.171412706375122,2,0.2904183235833175
children_killed.csv,5.631627082824707,2,0.3462518466048238
knifecrime2.csv,46.61557054519653,2,0.8260959879638883
teens_injured.csv,4.948452949523926,2,0.28329029801039546
teens_killed.csv,5.49815559387207,2,0.3199690868694369
39100009-000000.csv,5.323158025741577,2,0.25289445333596666
39100009-000001.csv,5.385684490203857,2,0.2432849551748245
39100009-000002.csv,5.691147327423096,2,0.3101218796874027
39100009-000003.csv,5.197415590286255,2,0.309860905689935
39100009-000004.csv,5.498860120773315,2,0.1833131059091372
39100009-000005.csv,5.806689023971558,2,0.32121833277554124
39100009-000006.csv,5.349385023117065,2,0.3141246560794793
39100009-000007.csv,3.0636324882507324,2,0.42475047430970503
39100011.csv,2.146085739135742,3,0.0
39100016.csv,4.335721015930176,2,0.32252351582300876
39100019.csv,2.0965607166290283,2,0.6001010860147741
39100020.csv,2.758624315261841,2,0.49864586638721164
39100021.csv,4.443700790405273,2,0.41160444046802863
39100029.csv,1.9044623374938965,2,0.21587681055094304
39100033.csv,1.913839340209961,2,0.16537621933644653
39100037.csv,21.457698106765747,2,0.41745817587862327
39100038.csv,1.9881367683410645,2,0.1415935364025914
tag00120.csv,4.985804319381714,2,0.5191945036608406
32100004.csv,8.01319432258606,2,1.3818747098489397
32100009.csv,93.8702449798584,18,1.8673607700585912
32100010.csv,80.35438632965088,2,1.0337962855126668
32100020.csv,99.70297646522522,2,0.7449210116542672
32100024.csv,10.637368202209473,2,0.9317747112412081
32100027.csv,9.669282674789429,2,0.7029519332107582
32100030.csv,8.181931495666504,2,0.8072279186344609
32100084.csv,34.292728662490845,2,0.7263937003370967
32100166.csv,39.39723205566406,2,0.5588815953807889
32100192.csv,10.1096830368042,2,0.99372177446462
co2-nuts-2.csv,1.9723379611968994,2,0.48150605478832403
med_en1.csv,1.8142421245574951,2,0.019379853022832273
med_en2.csv,1.818509578704834,2,0.2927912759611508
t2020_30.csv,2.1109676361083984,2,0.30272566277257906
videos_utf8.csv,34.78367805480957,2,0.37102890785185483
both_sexes.csv,2.127385139465332,2,0.3830252591947807
divorce.csv,1.87929368019104,2,0.14145810839281345
men.csv,2.06306529045105,2,0.34314658936711895
women.csv,2.085865020751953,2,0.4123857691140973
B-9.csv,3.3834056854248047,2,0.5222553398243421
C-6.csv,3.08603835105896,2,0.17830978474884351
D-1.csv,3.3426647186279297,2,0.0006464697417971275
E-7.csv,3.07698917388916,2,0.14211587581161814
F-4.csv,3.3931987285614014,2,0.0006796788599441252
G-3.csv,3.071789503097534,2,0.2063740246644341
H-1.csv,51.75503921508789,2,0.500563445240801
H-2.csv,56.13463497161865,2,0.5215968279423838
H-3.csv,49.55599284172058,2,0.5410841429014376
H-4.csv,54.01086711883545,2,0.5540521703926514
J-1.csv,52.776801347732544,2,0.5474856025283005
J-2.csv,57.776695251464844,2,0.567997231400253
J-3.csv,48.59660983085632,2,0.5168760868985466
J-4.csv,47.493035078048706,15,1.5229396147420433
K-6.csv,55.9057981967926,2,0.5329158730138782
K-7.csv,59.43930530548096,26,2.210464117770721
K-8.csv,51.18552303314209,4,0.5307627445113623
K-9.csv,54.27842688560486,2,0.505465134855263
Z-1.csv,49.293954849243164,2,0.8101512230456921
Z-2.csv,47.047874450683594,2,1.2249550920460848
37100078.csv,2.8149664402008057,2,0.5465514490015736
37100141.csv,2.0432229042053223,3,inf
CS_ANG.csv,1.9462308883666992,2,0.2997610769904355
13100166.csv,7.67946720123291,2,0.6483799976346606
13100169.csv,5.398248195648193,2,0.3339672336604276
13100170.csv,27.52879309654236,2,0.6125914057662883
13100172.csv,5.431822776794434,2,0.43108581874769664
13100173.csv,6.4207963943481445,2,0.46698030502542515
34100282.csv,112.97353768348694,116,0.0
37100004.csv,65.33385634422302,2,0.681188844165234
37100005.csv,53.72914981842041,2,0.6353714673169434
37100006.csv,66.33659672737122,2,0.9748141060829297
jan-feb-foils.csv,2.8361828327178955,2,0.6504997179062172
DailyUsage.csv,1.091738224029541,2,0.3048390059835639
csv-4.csv,1.0096406936645508,3,0.07805932926877159
eduroam.csv,1.895942211151123,2,0.0
geojson-2.csv,1.9268450736999512,2,0.07128171653754718
json-5.csv,1.9353249073028564,2,0.12331528599456243
