QtrNum,Population,Knife enabled,Violence with Injury,Homicide and serious injury,Knife Crime,RateKE,RateVWI,RateKC,ZScoreKE,ZScoreVWI,ZScoreKC,Force Name_Avon and Somerset,Force Name_Bedfordshire,Force Name_Cambridgeshire,Force Name_Cheshire,Force Name_Cleveland,Force Name_Cumbria,Force Name_Derbyshire,Force Name_Devon and Cornwall,Force Name_Dorset,Force Name_Durham,Force Name_Dyfed-Powys,Force Name_Essex,Force Name_Gloucestershire,Force Name_Greater Manchester,Force Name_Gwent,Force Name_Hampshire,Force Name_Hertfordshire,Force Name_Humberside,Force Name_Kent,Force Name_Lancashire,Force Name_Leicestershire,Force Name_Lincolnshire,Force Name_Merseyside,Force Name_Metropolitan Police,Force Name_Norfolk,Force Name_North Wales,Force Name_North Yorkshire,Force Name_Northamptonshire,Force Name_Northumbria,Force Name_Nottinghamshire,Force Name_South Wales,Force Name_South Yorkshire,Force Name_Staffordshire,Force Name_Suffolk,Force Name_Surrey,Force Name_Sussex,Force Name_Thames Valley,Force Name_Warwickshire,Force Name_West Mercia,Force Name_West Midlands,Force Name_West Yorkshire,Force Name_Wiltshire,Force Name_nan,Region_East,Region_East Midlands,Region_London,Region_North East,Region_North West,Region_South East,Region_South West,Region_Wales,Region_West Midlands,Region_Yorkshire,Region_nan,Financial Year_2008/09,Financial Year_2009/10,Financial Year_2010/11,Financial Year_2011/12,Financial Year_2012/13,Financial Year_2013/14,Financial Year_2014/15,Financial Year_2015/16,Financial Year_2016/17,Financial Year_2017/18,Financial Year_2018/19,Financial Year_nan,Financial Quarter_Q1,Financial Quarter_Q2,Financial Quarter_Q3,Financial Quarter_Q4,Financial Quarter_nan,clazz
10,1444.759,21,69,1,91,0.145352962,0.477588304,0.629862835,-0.5832347,-0.369126276,-0.5367879760000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
10,1485.042,44,112,4,160,0.29628791600000004,0.754187424,1.077410605,-0.188475609,0.493943278,0.143033831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
10,1680.715,49,82,3,134,0.291542588,0.487887595,0.7972797290000001,-0.200886662,-0.336989496,-0.282482932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
10,1680.7910000000004,36,49,0,85,0.214184869,0.291529405,0.505714274,-0.403209993,-0.949684055,-0.725368737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
10,1733.911,19,65,3,87,0.109578865,0.374875066,0.501755857,-0.676799176,-0.689621397,-0.731381543,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
10,1802.164,68,97,6,171,0.37732415,0.538241803,0.94885926,0.023468604,-0.17986975100000002,-0.052234726,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
10,1820.435,30,49,0,79,0.164795777,0.269166435,0.433962212,-0.532383471,-1.019463012,-0.8343595970000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
10,1969.331,38,68,2,108,0.192958929,0.345294925,0.548409587,-0.458724853,-0.781920024,-0.6605148670000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
10,2299.673,112,166,3,281,0.487025764,0.721841758,1.221912855,0.310384975,0.39301541,0.362531697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
10,2379.1910000000007,96,171,2,269,0.4034985,0.718731703,1.130636422,0.091925659,0.383311138,0.22388346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
